,WorldRank,Institution,Country,Nationa Rank,Total Score,Score Q1,Score CNCI,Score IC,Score TOP,Score Award,Subject,Year
42,43,Swiss Federal Institute of Technology Lausanne,../Switzerland,2,195.3,59.8,77.1,84.6,41.4,0,Mathematics,2020
43,44,Purdue University - West Lafayette,../UnitedStates,24,194.6,62.9,76.5,68.9,41.4,0,Mathematics,2020
44,45,King Abdulaziz University,../SaudiArabia,1,193.8,82.5,92.5,94.1,0,0,Mathematics,2020
45,46,University of British Columbia,../Canada,2,192.5,61.5,76.8,81.7,37.8,0,Mathematics,2020
46,47,California Institute of Technology,../UnitedStates,25,192.3,47.6,78.0,66.2,53.5,0,Mathematics,2020
47,48,Peking University,../China,1,192.1,69.2,70.6,54.6,41.4,0,Mathematics,2020
48,49,University of Washington,../UnitedStates,26,191.6,54.3,76.5,64.6,47.8,0,Mathematics,2020
49,50,University of Zurich,../Switzerland,3,191.0,43.0,78.6,80.2,53.5,0,Mathematics,2020
50,51-75,Aix Marseille University,../France,7-9,,64.2,68.8,77.1,29.3,0,Mathematics,2020
51,51-75,City University of Hong Kong,../China-HongKong,1-2,,57.1,92.3,66.1,16.9,0,Mathematics,2020
52,51-75,Fudan University,../China,2-4,,65.4,75.1,59.2,33.8,0,Mathematics,2020
53,51-75,Humboldt University of Berlin,../Germany,2-4,,55.1,73.2,74.9,44.7,0,Mathematics,2020
54,51-75,International School for Advanced Studies,../Italy,1-4,,43.0,91.8,73.6,29.3,0,Mathematics,2020
55,51-75,McGill University,../Canada,3,,47.0,71.7,79.7,47.8,0,Mathematics,2020
56,51-75,Michigan State University,../UnitedStates,27-31,,50.8,84.1,70.0,29.3,0,Mathematics,2020
57,51-75,Paul Sabatier University (Toulouse 3),../France,7-9,,56.5,71.0,74.6,41.4,0,Mathematics,2020
58,51-75,Sapienza University of Rome,../Italy,1-4,,69.4,80.0,72.5,23.9,0,Mathematics,2020
59,51-75,Technical University of Munich,../Germany,2-4,,58.5,74.1,74.0,29.3,0,Mathematics,2020
60,51-75,Tel Aviv University,../Israel,2,,57.1,64.1,74.1,47.8,0,Mathematics,2020
61,51-75,The Chinese University of Hong Kong,../China-HongKong,1-2,,58.5,88.4,71.9,16.9,0,Mathematics,2020
62,51-75,The Ohio State University - Columbus,../UnitedStates,27-31,,50.1,72.3,64.2,50.7,0,Mathematics,2020
63,51-75,The University of Tokyo,../Japan,2,,63.3,65.2,59.9,37.8,0,Mathematics,2020
64,51-75,Tsinghua University,../China,2-4,,65.3,70.2,61.6,29.3,0,Mathematics,2020
65,51-75,Universit̩ Grenoble Alpes,../France,7-9,,54.0,67.0,67.8,44.7,0,Mathematics,2020
66,51-75,University College London,../UnitedKingdom,6,,48.3,80.1,81.3,44.7,0,Mathematics,2020
67,51-75,"University of California, Irvine",../UnitedStates,27-31,,49.4,75.4,65.9,47.8,0,Mathematics,2020
68,51-75,University of Milan,../Italy,1-4,,52.3,86.2,75.6,29.3,0,Mathematics,2020
69,51-75,University of Muenster,../Germany,2-4,,47.5,73.0,71.4,41.4,0,Mathematics,2020
70,51-75,University of Pavia,../Italy,1-4,,46.3,93.9,75.4,29.3,0,Mathematics,2020
71,51-75,University of Sao Paulo,../Brazil,1,,63.7,61.4,76.0,41.4,0,Mathematics,2020
72,51-75,University of Science and Technology of China,../China,2-4,,57.0,75.9,61.3,33.8,0,Mathematics,2020
73,51-75,University of Utah,../UnitedStates,27-31,,45.6,73.1,60.2,44.7,0,Mathematics,2020
74,51-75,Yale University,../UnitedStates,27-31,,39.1,79.0,60.0,58.6,0,Mathematics,2020
75,76-100,Autonomous University of Madrid,../Spain,1-3,,54.3,81.4,79.5,16.9,0,Mathematics,2020
76,76-100,Boston College,../UnitedStates,32-35,,30.1,80.0,62.4,50.7,0,Mathematics,2020
77,76-100,Claude Bernard University Lyon 1,../France,10-15,,52.7,64.1,74.0,33.8,0,Mathematics,2020
78,76-100,Harbin Institute of Technology,../China,5-7,,68.8,86.4,50.3,0,0,Mathematics,2020
79,76-100,Indiana University Bloomington,../UnitedStates,32-35,,45.9,66.2,69.4,41.4,0,Mathematics,2020
80,76-100,INSA Lyon,../France,10-15,,54.8,66.6,72.7,29.3,0,Mathematics,2020
81,76-100,Paris 13 University,../France,10-15,,41.8,68.3,77.3,44.7,0,Mathematics,2020
82,76-100,Polytechnic University of Catalonia,../Spain,1-3,,53.3,74.7,76.8,29.3,0,Mathematics,2020
83,76-100,Scuola Normale Superiore - Pisa,../Italy,5-6,,38.8,90.6,74.0,29.3,0,Mathematics,2020
84,76-100,Seoul National University,../SouthKorea,1,,54.7,72.9,67.2,23.9,0,Mathematics,2020
85,76-100,Shanghai Jiao Tong University,../China,5-7,,67.7,74.4,63.0,16.9,0,Mathematics,2020
86,76-100,The Hong Kong University of Science and Technology,../China-HongKong,3,,38.8,84.4,77.5,29.3,0,Mathematics,2020
87,76-100,University of Bordeaux,../France,10-15,,54.3,62.7,73.1,41.4,0,Mathematics,2020
88,76-100,University of Bristol,../UnitedKingdom,7,,48.3,71.6,75.2,33.8,0,Mathematics,2020
89,76-100,University of Copenhagen,../Denmark,1,,38.3,75.5,81.1,41.4,0,Mathematics,2020
90,76-100,University of C̫te d'Azur,../France,10-15,,46.5,69.0,72.9,44.7,0,Mathematics,2020
91,76-100,University of Electronic Science and Technology of China,../China,5-7,,53.9,100.0,55.9,0,0,Mathematics,2020
92,76-100,University of Granada,../Spain,1-3,,57.6,71.3,71.6,29.3,0,Mathematics,2020
93,76-100,University of Helsinki,../Finland,1,,44.7,68.4,81.6,37.8,0,Mathematics,2020
94,76-100,University of Rennes 1,../France,10-15,,44.8,66.6,68.6,41.4,0,Mathematics,2020
95,76-100,University of Roma - Tor Vergata,../Italy,5-6,,51.4,70.7,69.3,33.8,0,Mathematics,2020
96,76-100,University of Southern California,../UnitedStates,32-35,,39.9,81.9,64.2,37.8,0,Mathematics,2020
97,76-100,University of Virginia,../UnitedStates,32-35,,34.1,77.6,68.5,41.4,0,Mathematics,2020
98,76-100,University of Warsaw,../Poland,1,,51.4,62.5,70.6,37.8,0,Mathematics,2020
99,76-100,Uppsala University,../Sweden,2,,44.9,80.0,82.8,23.9,0,Mathematics,2020
100,101-150,Bielefeld University,../Germany,5-9,,41.6,75.8,77.0,23.9,0,Mathematics,2020
101,101-150,Cankaya University,../Turkey,1,,32.5,100.0,96.1,0,0,Mathematics,2020
102,101-150,Catholic University of Louvain,../Belgium,1-2,,41.3,76.1,81.1,23.9,0,Mathematics,2020
103,101-150,Central South University,../China,8-17,,57.5,86.7,39.1,0,0,Mathematics,2020
104,101-150,Chalmers University of Technology,../Sweden,3,,41.1,68.9,82.0,33.8,0,Mathematics,2020
105,101-150,China University of Mining and Technology - Xuzhou,../China,8-17,,44.8,100.0,40.7,0,0,Mathematics,2020
106,101-150,Complutense University of Madrid,../Spain,4,,55.0,68.7,71.1,16.9,0,Mathematics,2020
107,101-150,Cornell University,../UnitedStates,36-47,,42.7,67.2,65.7,33.8,0,Mathematics,2020
108,101-150,Curtin University,../Australia,1-2,,34.8,100.0,93.7,0,0,Mathematics,2020
109,101-150,Duke University,../UnitedStates,36-47,,43.5,74.8,69.6,23.9,0,Mathematics,2020
110,101-150,Ecole Centrale Lyon,../France,16-22,,50.4,65.6,73.2,29.3,0,Mathematics,2020
111,101-150,Goethe University Frankfurt,../Germany,5-9,,33.4,74.1,73.9,33.8,0,Mathematics,2020
112,101-150,Heriot-Watt University,../UnitedKingdom,8,,40.4,77.6,80.2,29.3,0,Mathematics,2020
113,101-150,INSA Toulouse,../France,16-22,,38.7,78.4,72.3,23.9,0,Mathematics,2020
114,101-150,Johns Hopkins University,../UnitedStates,36-47,,39.5,74.1,66.1,37.8,0,Mathematics,2020
115,101-150,KU Leuven,../Belgium,1-2,,53.1,76.5,82.1,16.9,0,Mathematics,2020
116,101-150,Louisiana State University - Baton Rouge,../UnitedStates,36-47,,39.4,67.8,66.6,33.8,0,Mathematics,2020
117,101-150,Nankai University,../China,8-17,,52.4,74.0,52.1,23.9,0,Mathematics,2020
118,101-150,HSE University,../Russia,1,,52.4,61.7,65.6,33.8,0,Mathematics,2020
119,101-150,Pennsylvania State University - University Park,../UnitedStates,36-47,,50.1,70.3,68.0,23.9,0,Mathematics,2020
120,101-150,Qufu Normal University,../China,8-17,,49.7,100.0,51.0,0,0,Mathematics,2020
121,101-150,Shandong University of Science and Technology,../China,8-17,,42.5,100.0,48.6,0,0,Mathematics,2020
122,101-150,Southeast University,../China,8-17,,56.5,95.5,54.0,0,0,Mathematics,2020
123,101-150,Sun Yat-sen University,../China,8-17,,59.2,70.2,57.6,23.9,0,Mathematics,2020
124,101-150,The Hong Kong Polytechnic University,../China-HongKong,4,,49.3,100.0,66.1,0,0,Mathematics,2020
125,101-150,The University of New South Wales,../Australia,1-2,,57.1,73.0,80.8,16.9,0,Mathematics,2020
126,101-150,Universit̩ Gustave Eiffel,../France,16-22,,37.7,73.1,75.9,37.8,0,Mathematics,2020
127,101-150,University of Alberta,../Canada,4,,52.4,70.7,79.1,16.9,0,Mathematics,2020
128,101-150,"University of California, Davis",../UnitedStates,36-47,,43.0,80.9,69.8,23.9,0,Mathematics,2020
129,101-150,University of Chile,../Chile,1,,45.8,76.0,83.5,16.9,0,Mathematics,2020
130,101-150,University of Connecticut,../UnitedStates,36-47,,37.0,74.4,64.7,29.3,0,Mathematics,2020
131,101-150,University of Duisburg-Essen,../Germany,5-9,,41.2,72.7,74.6,23.9,0,Mathematics,2020
132,101-150,University of Florida,../UnitedStates,36-47,,39.0,66.8,68.2,16.9,26.1,Mathematics,2020
133,101-150,University of Geneva,../Switzerland,4,,30.8,64.0,80.9,16.9,36.9,Mathematics,2020
134,101-150,University of Jyvaskyla,../Finland,2,,43.1,74.3,78.7,23.9,0,Mathematics,2020
135,101-150,University of Lorraine,../France,16-22,,49.5,60.5,77.2,29.3,0,Mathematics,2020
136,101-150,University of Naples Federico II,../Italy,7,,47.7,76.8,63.5,16.9,0,Mathematics,2020
137,101-150,University of Notre Dame,../UnitedStates,36-47,,43.3,70.6,65.7,29.3,0,Mathematics,2020
138,101-150,University of Paderborn,../Germany,5-9,,37.3,100.0,74.8,0,0,Mathematics,2020
139,101-150,University of Pennsylvania,../UnitedStates,36-47,,37.2,76.9,64.4,33.8,0,Mathematics,2020
140,101-150,University of Pittsburgh,../UnitedStates,36-47,,47.6,74.7,67.1,23.9,0,Mathematics,2020
141,101-150,University of Regensburg,../Germany,5-9,,35.4,70.8,71.7,33.8,0,Mathematics,2020
142,101-150,University of Toulouse 1,../France,16-22,,39.9,83.2,74.6,23.9,0,Mathematics,2020
143,101-150,University Paris Est Creteil (UPEC),../France,16-22,,35.3,75.6,73.9,33.8,0,Mathematics,2020
144,101-150,University Toulouse - Jean Jaures,../France,16-22,,37.2,79.3,74.3,23.9,0,Mathematics,2020
145,101-150,Vienna University of Technology,../Austria,2,,48.3,68.7,78.4,23.9,0,Mathematics,2020
146,101-150,Wayne State University,../UnitedStates,36-47,,40.2,78.6,80.0,16.9,0,Mathematics,2020
147,101-150,Weizmann Institute of Science,../Israel,3,,42.2,72.3,79.1,33.8,0,Mathematics,2020
148,101-150,Wuhan University,../China,8-17,,54.8,74.7,51.8,23.9,0,Mathematics,2020
149,101-150,Zhejiang Normal University,../China,8-17,,41.1,100.0,59.1,0,0,Mathematics,2020
150,101-150,Zhejiang University,../China,8-17,,58.4,69.2,55.5,23.9,0,Mathematics,2020
151,151-200,Aalto University,../Finland,3,,37.9,75.5,82.5,16.9,0,Mathematics,2020
152,151-200,Arizona State University,../UnitedStates,48-58,,34.5,76.8,73.8,16.9,0,Mathematics,2020
153,151-200,Beijing Normal University,../China,18-24,,60.3,77.0,55.4,0,0,Mathematics,2020
154,151-200,Carlos III University of Madrid,../Spain,5-6,,45.1,71.0,79.3,16.9,0,Mathematics,2020
155,151-200,Carnegie Mellon University,../UnitedStates,48-58,,49.1,64.2,64.1,23.9,0,Mathematics,2020
156,151-200,Charles University in Prague,../Czech,1,,55.1,58.7,75.9,16.9,0,Mathematics,2020
157,151-200,China Medical University (Taichung),../China-Taiwan,1,,31.8,100.0,96.8,0,0,Mathematics,2020
158,151-200,Chongqing University,../China,18-24,,48.2,70.5,42.7,23.9,0,Mathematics,2020
159,151-200,Federal University of Rio de Janeiro,../Brazil,2,,44.1,59.8,74.0,23.9,0,Mathematics,2020
160,151-200,Free University Berlin,../Germany,10-11,,40.3,66.0,74.2,23.9,0,Mathematics,2020
161,151-200,Huazhong University of Science and Technology,../China,18-24,,58.5,82.2,52.0,0,0,Mathematics,2020
162,151-200,Hunan University,../China,18-24,,42.5,77.7,46.2,16.9,0,Mathematics,2020
163,151-200,Kent State University,../UnitedStates,48-58,,34.2,71.6,79.9,23.9,0,Mathematics,2020
164,151-200,King Abdullah University of Science and Technology,../SaudiArabia,2-3,,42.0,82.4,89.8,0,0,Mathematics,2020
165,151-200,King Saud University,../SaudiArabia,2-3,,40.7,85.4,84.5,0,0,Mathematics,2020
166,151-200,Lanzhou University,../China,18-24,,55.3,80.1,44.5,0,0,Mathematics,2020
167,151-200,North Carolina State University - Raleigh,../UnitedStates,48-58,,44.2,63.3,70.8,23.9,0,Mathematics,2020
168,151-200,Polytechnic University of Milan,../Italy,8-13,,57.3,78.5,75.5,0,0,Mathematics,2020
169,151-200,Pontifical Catholic University of Chile,../Chile,2,,41.6,67.3,82.2,16.9,0,Mathematics,2020
170,151-200,Queensland University of Technology,../Australia,3,,29.4,100.0,91.3,0,0,Mathematics,2020
171,151-200,Saint Petersburg State University,../Russia,2,,49.1,60.3,63.9,29.3,0,Mathematics,2020
172,151-200,Technion-Israel Institute of Technology,../Israel,4,,56.2,64.4,67.7,16.9,0,Mathematics,2020
173,151-200,The University of Glasgow,../UnitedKingdom,9-10,,25.6,72.1,78.3,37.8,0,Mathematics,2020
174,151-200,Tianjin University,../China,18-24,,50.9,67.7,46.8,16.9,0,Mathematics,2020
175,151-200,University of Aberdeen,../UnitedKingdom,9-10,,29.9,71.5,78.5,29.3,0,Mathematics,2020
176,151-200,University of Arizona,../UnitedStates,48-58,,32.5,70.0,63.6,29.3,0,Mathematics,2020
177,151-200,University of Basel,../Switzerland,5,,30.1,79.3,79.3,23.9,0,Mathematics,2020
178,151-200,"University of California, Santa Barbara",../UnitedStates,48-58,,39.9,70.5,66.4,23.9,0,Mathematics,2020
179,151-200,University of Cergy-Pontoise,../France,23-26,,29.9,77.2,56.7,29.3,0,Mathematics,2020
180,151-200,University of Gothenburg,../Sweden,4,,34.8,69.9,80.7,29.3,0,Mathematics,2020
181,151-200,University of Illinois at Chicago,../UnitedStates,48-58,,40.6,65.2,63.2,29.3,0,Mathematics,2020
182,151-200,University of Kaiserslautern,../Germany,10-11,,38.0,68.7,68.7,23.9,0,Mathematics,2020
183,151-200,University of L'Aquila,../Italy,8-13,,35.9,82.8,71.4,16.9,0,Mathematics,2020
184,151-200,University of Lille,../France,23-26,,48.2,58.8,74.3,23.9,0,Mathematics,2020
185,151-200,University of Ljubljana,../Slovenia,1,,42.1,71.6,76.0,16.9,0,Mathematics,2020
186,151-200,University of Massachusetts Amherst,../UnitedStates,48-58,,34.5,74.7,72.5,23.9,0,Mathematics,2020
187,151-200,University of Missouri - Columbia,../UnitedStates,48-58,,37.6,71.7,65.0,29.3,0,Mathematics,2020
188,151-200,University of Montpellier,../France,23-26,,41.6,71.3,73.8,16.9,0,Mathematics,2020
189,151-200,University of Nantes,../France,23-26,,35.1,66.9,69.7,29.3,0,Mathematics,2020
190,151-200,University of Oregon,../UnitedStates,48-58,,37.5,71.1,62.7,23.9,0,Mathematics,2020
191,151-200,University of Padua,../Italy,8-13,,51.0,67.1,70.9,16.9,0,Mathematics,2020
192,151-200,University of Parma,../Italy,8-13,,32.3,99.8,58.3,0,0,Mathematics,2020
193,151-200,University of Perugia,../Italy,8-13,,31.2,100.0,71.1,0,0,Mathematics,2020
194,151-200,University of Seville,../Spain,5-6,,58.0,69.2,75.8,0,0,Mathematics,2020
195,151-200,University of South Florida,../UnitedStates,48-58,,29.4,100.0,70.0,0,0,Mathematics,2020
196,151-200,University of Turin,../Italy,8-13,,43.0,72.1,63.9,16.9,0,Mathematics,2020
197,151-200,University of Victoria,../Canada,5-6,,36.7,88.2,89.0,0,0,Mathematics,2020
198,151-200,University of Waterloo,../Canada,5-6,,52.2,62.5,79.0,16.9,0,Mathematics,2020
199,151-200,Xiangtan University,../China,18-24,,39.5,95.1,58.1,0,0,Mathematics,2020
200,151-200,Yeungnam University,../SouthKorea,2,,26.4,100.0,81.1,0,0,Mathematics,2020
201,201-300,Autonomous University of Barcelona,../Spain,7-10,,54.7,67.5,82.3,0,0,Mathematics,2020
202,201-300,Beihang University,../China,25-48,,54.5,76.9,49.9,0,0,Mathematics,2020
203,201-300,Beijing Institute of Technology,../China,25-48,,50.1,77.0,49.6,0,0,Mathematics,2020
204,201-300,Beni-Suef University,../Egypt,1,,17.5,100.0,83.7,0,0,Mathematics,2020
205,201-300,Central China Normal University,../China,25-48,,46.0,85.2,54.2,0,0,Mathematics,2020
206,201-300,Changsha University of Science and Technology,../China,25-48,,23.0,100.0,49.6,0,0,Mathematics,2020
207,201-300,Dalian University of Technology,../China,25-48,,58.3,71.1,42.9,0,0,Mathematics,2020
208,201-300,Delft University of Technology,../Netherlands,1-3,,35.9,71.4,79.9,16.9,0,Mathematics,2020
209,201-300,East China Normal University,../China,25-48,,53.3,69.7,55.4,0,0,Mathematics,2020
210,201-300,Florida State University,../UnitedStates,59-69,,35.6,85.4,63.2,0,0,Mathematics,2020
211,201-300,Guizhou University,../China,25-48,,24.5,100.0,58.0,0,0,Mathematics,2020
212,201-300,Hohai University,../China,25-48,,41.2,89.6,50.8,0,0,Mathematics,2020
213,201-300,Hong Kong Baptist University,../China-HongKong,5,,42.2,86.9,59.1,0,0,Mathematics,2020
214,201-300,Huaiyin Normal University,../China,25-48,,29.0,100.0,30.5,0,0,Mathematics,2020
215,201-300,Iowa State University,../UnitedStates,59-69,,33.8,70.5,65.5,16.9,0,Mathematics,2020
216,201-300,Johannes Kepler University Linz,../Austria,3,,38.6,68.5,76.3,16.9,0,Mathematics,2020
217,201-300,King's College London,../UnitedKingdom,11-15,,31.2,59.4,83.6,29.3,0,Mathematics,2020
218,201-300,Kyushu University,../Japan,3-6,,36.9,64.5,49.3,23.9,0,Mathematics,2020
219,201-300,Leibniz University Hannover,../Germany,12-22,,38.4,67.0,74.7,16.9,0,Mathematics,2020
220,201-300,Linkoping University,../Sweden,5,,33.1,62.7,79.2,23.9,0,Mathematics,2020
221,201-300,McMaster University,../Canada,7-9,,33.3,66.6,86.3,16.9,0,Mathematics,2020
222,201-300,Memorial University of Newfoundland,../Canada,7-9,,35.0,82.8,81.1,0,0,Mathematics,2020
223,201-300,Nagoya University,../Japan,3-6,,33.0,67.3,55.3,23.9,0,Mathematics,2020
224,201-300,Nanjing University,../China,25-48,,54.1,71.7,49.3,0,0,Mathematics,2020
225,201-300,Nanjing University of Science and Technology,../China,25-48,,39.9,82.8,54.4,0,0,Mathematics,2020
226,201-300,National Autonomous University of Mexico,../Mexico,1,,45.4,53.3,70.1,23.9,0,Mathematics,2020
227,201-300,National Taiwan University,../China-Taiwan,2,,43.8,64.2,72.4,16.9,0,Mathematics,2020
228,201-300,National Technical University of Athens,../Greece,1-2,,38.0,79.1,87.7,0,0,Mathematics,2020
229,201-300,North China Electric Power University,../China,25-48,,35.9,93.1,43.7,0,0,Mathematics,2020
230,201-300,Northeastern University (Boston),../UnitedStates,59-69,,31.3,68.1,61.3,29.3,0,Mathematics,2020
231,201-300,Northeastern University (Shenyang),../China,25-48,,47.4,82.8,47.3,0,0,Mathematics,2020
232,201-300,North-West University,../SouthAfrica,1,,22.5,100.0,72.7,0,0,Mathematics,2020
233,201-300,Northwestern Polytechnical University,../China,25-48,,48.4,81.5,51.3,0,0,Mathematics,2020
234,201-300,Norwegian University of Science and Technology - NTNU,../Norway,1,,45.0,74.8,78.4,0,0,Mathematics,2020
235,201-300,Osaka University,../Japan,3-6,,39.5,59.1,59.1,29.3,0,Mathematics,2020
236,201-300,Pohang University of Science and Technology,../SouthKorea,3,,32.8,69.5,69.1,23.9,0,Mathematics,2020
237,201-300,Politecnico di Bari,../Italy,14-24,,26.4,94.7,63.8,0,0,Mathematics,2020
238,201-300,Polytechnic University of Madrid,../Spain,7-10,,38.8,66.9,64.9,16.9,0,Mathematics,2020
239,201-300,Polytechnic University of Turin,../Italy,14-24,,39.9,80.2,71.8,0,0,Mathematics,2020
240,201-300,Polytechnic University of Valencia,../Spain,7-10,,54.4,68.5,71.0,0,0,Mathematics,2020
241,201-300,Quaid-i-Azam University,../Pakistan,1,,27.4,90.7,84.2,0,0,Mathematics,2020
242,201-300,Radboud University Nijmegen,../Netherlands,1-3,,20.8,66.5,79.7,33.8,0,Mathematics,2020
243,201-300,Renmin University of China,../China,25-48,,31.7,88.9,62.1,0,0,Mathematics,2020
244,201-300,Roma Tre University,../Italy,14-24,,31.0,74.6,68.9,16.9,0,Mathematics,2020
245,201-300,Shandong University,../China,25-48,,59.9,69.3,49.7,0,0,Mathematics,2020
246,201-300,Shanghai University,../China,25-48,,53.7,74.1,46.1,0,0,Mathematics,2020
247,201-300,Sichuan Normal University,../China,25-48,,24.1,100.0,51.5,0,0,Mathematics,2020
248,201-300,Southwest University,../China,25-48,,47.8,81.7,49.0,0,0,Mathematics,2020
249,201-300,Swansea University,../UnitedKingdom,11-15,,26.4,89.9,86.2,0,0,Mathematics,2020
250,201-300,Technical University Darmstadt,../Germany,12-22,,41.3,61.7,67.6,16.9,0,Mathematics,2020
251,201-300,Technical University of Berlin,../Germany,12-22,,54.3,67.5,74.1,0,0,Mathematics,2020
252,201-300,Texas A&M University-Kingsville,../UnitedStates,59-69,,29.6,85.8,100.0,0,0,Mathematics,2020
253,201-300,The Australian National University,../Australia,4,,46.7,75.0,81.5,0,0,Mathematics,2020
254,201-300,The University of Auckland,../NewZealand,1,,35.9,67.0,88.7,16.9,0,Mathematics,2020
255,201-300,Tiangong University,../China,25-48,,35.3,89.4,61.1,0,0,Mathematics,2020
256,201-300,Tokyo Institute of Technology,../Japan,3-6,,35.3,70.6,60.5,23.9,0,Mathematics,2020
257,201-300,Universidade Federal da Paraiba,../Brazil,3-4,,31.7,75.1,58.6,16.9,0,Mathematics,2020
258,201-300,Universita Mediterranea di Reggio Calabria,../Italy,14-24,,23.4,100.0,82.0,0,0,Mathematics,2020
259,201-300,Universit̩ libre de Bruxelles (ULB),../Belgium,3,,37.5,65.4,88.5,16.9,0,Mathematics,2020
260,201-300,University of Amsterdam,../Netherlands,1-3,,32.8,65.4,77.7,23.9,0,Mathematics,2020
261,201-300,University of Bari,../Italy,14-24,,38.2,84.8,60.3,0,0,Mathematics,2020
262,201-300,University of Bath,../UnitedKingdom,11-15,,37.5,66.9,80.0,16.9,0,Mathematics,2020
