Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
40,诺丁汉特伦特大学Nottingham Trent University,83.0,81.7,6.5,135,81.7,74.4,87.6,14.5,2434,625,免费评估
41,莱斯特大学University of Leicester,77.7,78.0,31.8,133,75.4,78.4,92.3,14.0,2749,619,免费评估
42,创意艺术大学University for the Creative Arts,83.8,78.0,3.4,143,72.7,75.1,80.1,12.9,2666,614,免费评估
43,伯恩茅斯艺术大学Arts University Bournemouth,84.9,82.9,2.4,154,80.5,66.1,90.0,15.1,1730,613,免费评估
44,伦敦大学亚非学院SOAS University of London,75.5,71.2,27.9,156,70.9,81.7,81.4,11.3,2608,606,免费评估
45,亚伯大学Aberystwyth University,88.3,86.1,28.1,120,78.2,69.0,81.6,16.9,1768,596,免费评估
46,基尔大学Keele University,82.5,82.5,22.1,127,82.1,74.2,88.7,14.0,2087,586,免费评估
47,斯特林大学University of Stirling,79.5,75.6,30.5,163,78.7,76.3,86.7,16.4,1865,583,免费评估
48,阿斯顿大学Aston University,78.3,77.3,25.8,133,79.1,84.4,92.0,17.4,1983,578,免费评估
49,伦敦大学玛丽女王学院Queen Mary University of London,73.5,74.3,37.9,144,78.7,83.2,89.9,13.1,2352,574,免费评估
50,考文垂大学Coventry University,82.3,81.5,3.8,126,80.9,76.1,83.9,14.6,2411,572,免费评估
51,林肯大学University of Lincoln,79.5,79.3,10.3,128,81.4,75.1,88.1,14.7,2123,570,免费评估
52,泰晤士河谷大学Thames Valley University,85.7,84.7,1.6,124,74.0,74.3,78.1,14.8,2669,565,免费评估
53,斯塔福德郡大学Staffordshire University,83.3,79.8,16.5,120,80.8,72.3,78.4,15.4,2484,564,免费评估
54,肯特大学University of Kent,76.8,76.6,35.2,135,78.3,79.1,89.0,18.0,1827,558,免费评估
55,艾芝西尔大学Edge Hill University,82.1,79.1,4.9,134,77.2,74.0,85.1,14.1,2230,554,免费评估
56,朴茨茅斯大学University of Portsmouth,80.5,79.3,8.6,115,85.4,75.0,85.4,15.4,2222,552,免费评估
56,Leeds Arts University,83.1,79.0,,158,57.1,79.9,88.8,11.9,1287,552,免费评估
58,阿尔斯特大学University of Ulster,81.8,80.3,31.8,128,71.9,76.0,83.3,17.4,2143,549,免费评估
58,西英格兰大学University of the West of England,83.8,83.1,8.8,126,76.3,75.4,84.3,15.3,2007,549,免费评估
60,利物浦霍普大学Liverpool Hope University,82.5,79.3,9.2,117,83.8,68.0,79.9,14.5,2103,545,免费评估
61,哈德斯菲尔德大学University of Huddersfield,81.2,78.3,9.4,131,80.0,74.6,84.2,17.5,2417,540,免费评估
62,曼彻斯特城市大学Manchester Metropolitan University,80.7,78.9,7.5,133,70.7,73.2,83.5,15.5,2719,535,免费评估
62,诺里奇艺术大学Norwich University of the Arts,81.6,77.7,5.6,137,60.6,71.8,88.6,15.0,2638,535,免费评估
64,牛津布鲁克斯大学Oxford Brookes University,77.3,77.0,11.4,131,77.4,75.7,89.6,15.1,2248,531,免费评估
65,诺桑比亚大学Northumbria University,79.7,78.3,9.0,145,75.4,77.3,84.0,16.3,2224,524,免费评估
65,谢菲尔德哈莱姆大学Sheffield Hallam University,83.7,81.1,5.4,119,73.8,74.7,85.7,17.2,2318,524,免费评估
67,"圣乔治医学院St George's, University of London",71.9,71.9,22.2,158,93.8,80.3,93.3,11.1,2560,521,免费评估
68,伦敦大学金史密斯学院Goldsmiths University of London,76.5,72.0,33.4,131,58.3,81.9,78.5,15.1,2902,520,免费评估
69,罗汉普顿大学Roehampton University,79.2,77.2,24.5,111,72.2,68.7,74.3,14.2,2759,519,免费评估
70,班戈大学Bangor University,83.8,81.8,27.2,131,67.8,71.4,84.1,17.0,1714,518,免费评估
71,奇切斯特大学University of Chichester,83.3,79.9,6.4,123,64.6,73.1,88.0,14.4,1833,515,免费评估
72,法尔茅斯大学Falmouth University,81.1,76.5,4.6,131,77.0,78.0,86.8,18.3,1488,514,免费评估
73,伦敦城市大学City University London,76.2,77.1,22.6,145,73.4,73.1,88.5,17.8,2495,511,免费评估
74,德蒙福特大学De Montfort University,79.9,80.0,8.9,111,83.8,75.1,85.0,19.9,2246,508,免费评估
75,中央兰开夏大学University of Central Lancashire,81.3,78.7,5.6,133,76.9,71.8,79.6,14.2,2241,506,免费评估
76,普利茅斯大学University of Plymouth,82.4,79.9,15.9,132,73.6,70.9,83.6,16.2,2020,504,免费评估
77,赫尔大学The University of Hull,80.8,77.1,16.7,126,76.0,70.4,83.0,16.2,2370,499,免费评估
78,利物浦约翰摩尔斯大学Liverpool John Moores University,80.5,79.1,8.9,142,74.9,73.8,84.7,16.9,1802,498,免费评估
79,伦敦艺术大学University of the Arts London,76.3,70.1,8.0,137,72.2,71.3,86.2,14.8,2397,495,免费评估
79,切斯特大学University of Chester,82.7,79.1,4.1,114,70.1,69.7,80.5,15.5,2803,495,免费评估
81,约克圣约翰大学York St John University,83.9,79.9,4.1,114,73.6,68.6,87.7,18.0,2068,490,免费评估
82,玛格丽特女王大学Queen Margaret University,80.7,76.5,6.6,151,72.9,79.0,81.9,18.6,1775,488,免费评估
83,罗伯特高登大学The Robert Gordon University,83.0,80.4,4.0,157,81.1,69.9,86.8,20.4,1449,487,免费评估
84,格林威治大学The University of Greenwich,79.9,78.4,4.9,137,70.3,77.0,82.0,17.4,2329,484,免费评估
85,"特威克南圣玛丽大学St Mary's, Twickenham",82.2,79.0,4.0,119,72.6,75.3,81.0,16.0,1741,483,免费评估
86,伦敦南岸大学London South Bank University,80.4,77.9,9.0,114,87.7,69.5,77.5,15.6,2156,480,免费评估
87,蒂赛德大学Teesside University,83.1,79.5,3.6,120,81.3,68.0,79.8,18.0,2464,477,免费评估
88,赫特福德大学University of Hertfordshire,78.8,78.3,5.6,115,80.6,64.9,83.7,16.0,2700,476,免费评估
89,Solent University,82.2,79.0,0.5,118,70.4,71.3,77.9,15.6,2112,475,免费评估
89,皇家农学院Royal Agricultural University,81.8,82.3,1.1,118,63.5,63.5,91.2,20.9,2803,475,免费评估
91,德比大学University of Derby,81.6,78.6,2.5,123,76.2,65.7,79.1,14.5,2042,474,免费评估
92,白金汉大学The University of Buckingham,80.6,80.5,,121,81.5,69.7,84.0,15.8,1926,472,免费评估
92,伍斯特大学University of Worcester,85.1,82.8,4.3,120,75.0,67.1,81.8,17.2,1629,472,免费评估
94,伯恩茅斯大学Bournemouth University,77.3,75.4,9.0,122,68.7,76.4,85.3,17.0,2325,465,免费评估
95,格罗斯特大学University of Gloucestershire,81.0,78.0,3.8,123,72.9,71.3,80.9,18.7,2055,461,免费评估
96,伯明翰城市大学Birmingham City University,81.0,77.3,4.3,123,76.8,71.6,82.6,17.9,2123,460,免费评估
96,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,78.7,76.5,7.0,167,73.7,79.9,83.7,20.2,1651,460,免费评估
98,阿伯泰邓迪大学University of Abertay Dundee,84.5,81.3,5.1,142,73.4,65.8,77.4,19.6,1919,459,免费评估
98,温切斯特大学University of Winchester,80.5,78.5,5.8,113,63.7,76.4,86.3,16.4,1683,459,免费评估
100,布鲁内尔大学Brunel University,73.1,73.4,25.4,125,70.9,75.7,86.5,18.0,2418,458,免费评估
101,龙比亚大学Napier University,76.2,75.9,4.6,148,73.8,75.7,82.2,17.9,2136,455,免费评估
102,Plymouth Marjon University,86.7,82.7,0.0,125,63.7,77.1,78.4,22.2,1996,453,免费评估
102,University of Wales Trinity St David,84.6,78.6,2.6,109,66.0,72.9,77.2,15.2,1779,453,免费评估
102,格罗斯泰斯特主教大学Bishop Grosseteste University,81.2,75.8,2.1,112,72.9,69.0,90.2,20.2,2212,453,免费评估
105,布拉德福德大学University of Bradford,74.3,74.3,9.2,132,82.8,80.2,83.0,17.2,2076,448,免费评估
106,金斯顿大学Kingston University,79.3,78.3,5.1,124,64.5,72.5,84.1,16.6,2559,444,免费评估
107,米德塞斯大学Middlesex University,75.5,74.0,9.7,123,73.5,67.2,78.9,16.7,3030,443,免费评估
108,西苏格兰大学University of the West of Scotland,81.4,78.0,4.3,139,80.7,71.3,80.9,22.4,2205,442,免费评估
109,桑德兰大学University of Sunderland,79.9,77.2,5.8,115,67.1,64.7,80.4,15.8,2657,441,免费评估
110,巴斯斯巴大学Bath Spa University,76.5,72.2,7.9,118,66.9,78.8,86.2,18.7,2100,438,免费评估
111,索尔福德大学University of Salford,78.5,76.8,8.3,130,73.6,73.7,78.3,16.2,1980,437,免费评估
112,卡迪夫都市大学Cardiff Metropolitan University,80.7,80.0,3.9,123,65.9,67.4,79.6,18.8,2565,434,免费评估
113,新白金汉大学Buckinghamshire New University,81.9,79.7,1.5,117,68.8,60.4,79.3,15.8,2647,427,免费评估
114,南威尔士大学The University of South Wales,82.5,79.5,4.0,125,63.4,67.3,79.8,15.6,1580,412,免费评估
115,纽曼大学Newman University,82.5,81.2,2.8,118,64.7,60.9,76.6,14.5,1696,408,免费评估
116,北安普顿大学The University of Northampton,78.8,73.9,3.2,105,68.2,68.0,80.6,16.8,2728,407,免费评估
117,利兹圣三一大学Leeds Trinity University,77.1,74.8,2.0,109,68.1,79.3,82.4,19.9,1940,403,免费评估
118,坎特伯雷大学Canterbury Christ Church University,81.0,75.7,4.5,110,64.7,68.8,80.6,14.8,1847,401,免费评估
119,威斯敏斯特大学University of Westminster,75.2,75.1,9.8,127,70.4,70.5,81.7,19.3,1857,395,免费评估
120,剑桥安鲁大学Anglia Ruskin University,82.4,79.0,5.4,113,68.3,74.0,78.2,18.5,1464,388,免费评估
121,哥比亚大学University of Cumbria,78.9,73.8,1.2,126,73.6,67.4,82.7,16.8,1611,383,免费评估
122,布莱顿大学University of Brighton,79.8,75.8,7.9,117,67.2,72.2,81.3,18.5,1587,380,免费评估
123,利兹贝克特大学Leeds Beckett University,80.4,79.3,4.1,112,63.2,70.3,76.4,19.3,1954,377,免费评估
124,伍尔弗汉普顿大学University of Wolverhampton,81.3,78.8,5.9,112,68.9,66.2,72.9,18.0,1913,374,免费评估
125,波尔顿大学University of Bolton,85.6,82.1,2.9,116,57.4,60.8,72.8,14.2,1488,368,免费评估
126,伦敦都市大学London Metropolitan University,77.9,75.7,3.5,101,70.7,60.8,65.7,17.8,3129,355,免费评估
127,东伦敦大学University of East London,78.0,76.1,7.2,111,65.3,68.1,75.5,18.9,2018,350,免费评估
128,贝德福德大学University of Bedfordshire,80.4,77.4,7.0,101,70.6,63.9,66.3,17.0,2089,348,免费评估
129,萨福克学院University Campus Suffolk,80.0,76.0,,117,65.0,66.8,72.2,18.8,2387,340,免费评估
130,格林多大学Glyndwr University,79.2,74.3,2.3,113,63.5,70.4,74.8,21.2,1673,313,免费评估
131,Ravensbourne University London,72.1,66.1,,113,68.7,63.9,89.7,31.6,1460,250,免费评估
