Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
19,布里斯托大学University of Bristol,78.8,84.0,47.3,479,79.0,87.9,95.0,13.8,2032,741,免费评估
20,诺丁汉大学University of Nottingham,81.2,86.0,37.8,425,82.7,80.5,93.7,13.2,2180,738,免费评估
21,南安普顿大学University of Southampton,78.8,84.7,44.9,417,78.4,80.1,91.7,12.0,2268,737,免费评估
22,纽卡斯尔大学Newcastle University,82.9,87.8,37.7,432,82.6,81.3,94.9,15.5,1894,728,免费评估
23,肯特大学University of Kent,80.9,85.9,35.2,361,80.6,80.1,91.6,12.7,1666,723,免费评估
24,谢菲尔德大学The University of Sheffield,80.7,86.7,37.6,420,81.3,79.5,94.4,14.6,2142,716,免费评估
25,莱斯特大学University of Leicester,80.5,85.8,31.8,390,75.3,77.2,91.8,12.9,2742,713,免费评估
26,英国女王大学Queen's University Belfast,82.8,88.7,39.7,388,80.3,78.3,92.6,15.1,2151,710,免费评估
27,伦敦国王学院King's College London,74.9,80.3,44.0,464,88.0,83.4,94.0,11.7,2127,709,免费评估
28,邓迪大学University of Dundee,85.9,88.8,31.2,413,80.9,77.8,86.4,12.6,1705,706,免费评估
29,格拉斯哥大学University of Glasgow,79.4,85.6,39.9,478,81.8,79.3,88.4,14.5,2292,704,免费评估
30,埃塞克斯大学University of Essex,82.4,87.2,37.2,313,73.4,74.3,88.3,16.5,2945,701,免费评估
31,雷丁大学University of Reading,80.2,84.8,36.5,372,73.6,80.6,92.2,14.7,2175,696,免费评估
32,曼彻斯特大学The University of Manchester,77.3,83.4,39.8,439,82.2,76.2,92.9,13.4,2283,694,免费评估
33,阿斯顿大学Aston University,81.9,86.8,25.8,365,82.3,86.2,93.7,19.0,2177,693,免费评估
34,伦敦大学皇家霍洛威学院Royal Holloway University of London,81.9,83.9,36.3,400,69.3,75.6,93.8,15.3,1941,688,免费评估
35,伦敦大学亚非学院SOAS University of London,79.5,83.1,27.9,410,70.8,79.9,84.3,11.1,2206,687,免费评估
36,哈珀亚当斯大学Harper Adams University,85.1,89.8,5.7,342,72.8,63.2,88.6,15.4,2877,681,免费评估
37,爱丁堡大学The University of Edinburgh,71.8,79.6,43.8,487,73.0,84.5,91.3,12.0,2067,676,免费评估
37,赫瑞瓦特大学Heriot Watt University,80.0,85.3,36.7,407,79.7,75.5,84.4,15.6,2375,676,免费评估
39,利物浦大学The University of Liverpool,79.7,84.4,31.5,395,76.9,75.8,91.9,11.8,2237,672,免费评估
40,伦敦大学玛丽女王学院Queen Mary University of London,76.7,80.7,37.9,417,79.8,74.3,90.5,11.9,2512,665,免费评估
41,白金汉大学The University of Buckingham,90.2,91.5,0.0,319,71.4,54.7,85.1,9.6,2008,661,免费评估
42,基尔大学Keele University,87.2,90.4,22.1,352,79.5,67.2,89.1,13.2,1740,657,免费评估
43,斯特林大学University of Stirling,80.4,83.7,30.5,377,77.5,83.7,86.1,14.9,1811,656,免费评估
44,阿伯丁大学University of Aberdeen,78.1,84.4,29.9,443,78.5,77.9,84.3,13.5,2300,653,免费评估
44,斯旺西大学Swansea University,81.2,84.6,33.7,326,80.5,76.1,90.1,14.7,2055,653,免费评估
46,卡迪夫大学Cardiff University,79.0,84.8,35.0,405,73.9,76.0,92.6,13.7,1938,642,免费评估
47,考文垂大学Coventry University,87.6,89.8,3.8,317,79.9,70.1,84.4,14.6,2116,639,免费评估
48,思克莱德大学University of Strathclyde,76.3,84.7,37.7,476,77.2,77.8,87.2,19.4,1846,629,免费评估
49,利物浦霍普大学Liverpool Hope University,89.9,89.6,9.2,305,78.0,66.2,79.6,16.2,1856,622,免费评估
50,伦敦城市大学City University London,80.1,84.3,21.4,375,82.6,71.8,85.4,16.6,2469,620,免费评估
51,林肯大学University of Lincoln,85.1,88.5,10.3,340,71.9,67.7,89.3,15.7,1755,619,免费评估
52,法尔茅斯大学Falmouth University,83.6,83.7,4.6,318,79.3,74.8,88.6,18.9,1434,593,免费评估
53,创意艺术大学University for the Creative Arts,84.4,83.5,3.4,321,53.6,63.4,84.9,12.1,2647,591,免费评估
54,布鲁内尔大学Brunel University,78.6,83.2,25.4,349,71.2,72.2,87.4,15.7,1979,588,免费评估
54,伦敦大学金史密斯学院Goldsmiths University of London,77.4,76.8,33.4,358,59.8,80.6,84.0,13.8,1895,588,免费评估
56,亚伯大学Aberystwyth University,85.0,87.0,28.1,299,68.2,66.9,88.6,19.1,1694,583,免费评估
57,诺丁汉特伦特大学Nottingham Trent University,84.6,85.7,6.5,306,73.1,71.4,85.8,16.7,1891,580,免费评估
58,艾芝西尔大学Edge Hill University,85.0,86.0,4.9,328,71.5,69.8,84.6,14.8,1968,579,免费评估
59,朴茨茅斯大学University of Portsmouth,82.7,85.4,8.6,323,72.0,71.2,85.8,15.4,1952,575,免费评估
60,西英格兰大学University of the West of England,83.0,86.2,8.8,324,76.4,73.3,82.9,18.5,2118,565,免费评估
61,班戈大学Bangor University,84.8,86.4,27.2,344,66.3,64.2,82.3,16.9,1528,557,免费评估
62,伯恩茅斯大学Bournemouth University,78.2,82.1,9.0,322,71.6,77.9,85.5,17.3,2112,555,免费评估
63,皇家农学院Royal Agricultural University,77.2,83.9,1.1,303,74.7,62.2,93.8,20.8,2811,551,免费评估
64,伯恩茅斯艺术大学Arts University Bournemouth,80.7,81.2,2.4,324,73.9,62.2,91.5,14.9,1214,546,免费评估
65,赫尔大学The University of Hull,78.9,84.1,16.7,344,72.7,70.4,84.0,16.2,1971,543,免费评估
65,诺桑比亚大学Northumbria University,81.2,83.8,9.0,364,71.9,69.7,87.5,17.1,1543,543,免费评估
67,德蒙福特大学De Montfort University,79.9,83.1,8.9,293,75.5,70.1,86.6,18.6,2101,541,免费评估
68,阿尔斯特大学University of Ulster,81.5,86.9,31.8,307,65.6,65.9,81.0,17.1,1799,539,免费评估
69,牛津布鲁克斯大学Oxford Brookes University,81.3,84.0,11.4,338,70.9,74.9,90.0,18.3,1301,537,免费评估
70,"圣乔治医学院St George's, University of London",72.7,77.2,22.2,435,95.1,74.4,94.8,12.8,2733,536,免费评估
71,格罗斯特大学University of Gloucestershire,82.9,84.9,3.8,326,63.9,69.0,86.4,18.3,1789,532,免费评估
72,曼彻斯特城市大学Manchester Metropolitan University,80.0,82.7,7.5,348,66.5,70.4,83.6,15.6,1741,527,免费评估
72,温切斯特大学University of Winchester,81.7,83.3,5.8,295,61.2,77.3,88.7,16.7,1344,527,免费评估
74,米德塞斯大学Middlesex University,79.3,82.3,9.7,301,70.3,62.2,74.7,16.3,3049,522,免费评估
75,巴斯斯巴大学Bath Spa University,81.4,81.6,7.9,322,61.0,72.8,87.2,18.5,1677,521,免费评估
76,布拉德福德大学University of Bradford,76.9,83.0,9.2,321,78.8,75.4,84.0,16.0,2004,520,免费评估
77,哈德斯菲尔德大学University of Huddersfield,83.6,84.8,9.4,332,73.4,65.1,81.7,20.6,1789,519,免费评估
78,罗汉普顿大学Roehampton University,77.4,79.8,24.5,276,64.2,70.3,78.7,14.9,2171,517,免费评估
79,谢菲尔德哈莱姆大学Sheffield Hallam University,80.0,83.4,5.4,306,68.6,66.0,86.3,16.5,2068,515,免费评估
80,普利茅斯大学University of Plymouth,81.1,83.2,15.9,314,69.8,69.9,84.9,16.4,1555,514,免费评估
81,切斯特大学University of Chester,82.9,81.6,4.1,304,64.3,63.8,80.4,14.0,2148,513,免费评估
82,奇切斯特大学University of Chichester,82.9,84.9,6.4,305,58.5,69.0,89.1,16.0,1255,511,免费评估
83,德比大学University of Derby,83.5,83.9,2.5,305,64.0,66.1,81.8,14.8,1798,507,免费评估
84,泰晤士河谷大学Thames Valley University,81.9,84.4,1.6,300,68.9,61.3,74.9,15.6,2600,499,免费评估
85,阿伯泰邓迪大学University of Abertay Dundee,83.0,84.5,5.1,346,68.4,70.9,77.2,19.3,1657,498,免费评估
86,利物浦约翰摩尔斯大学Liverpool John Moores University,80.5,84.1,8.9,345,67.0,73.0,84.4,18.1,1374,497,免费评估
86,罗伯特高登大学The Robert Gordon University,78.8,82.3,4.0,392,77.5,70.5,83.1,18.4,1396,497,免费评估
88,诺里奇艺术大学Norwich University of the Arts,79.3,79.1,5.6,378,57.7,67.9,88.5,17.8,1349,491,免费评估
89,卡迪夫都市大学Cardiff Metropolitan University,77.2,81.3,3.9,318,70.4,67.5,82.3,17.9,2162,490,免费评估
90,伍斯特大学University of Worcester,82.5,84.1,4.3,303,68.0,65.8,85.7,17.3,1315,486,免费评估
91,赫特福德大学University of Hertfordshire,78.2,81.8,5.6,301,77.5,65.0,82.1,17.5,2142,483,免费评估
92,斯塔福德郡大学Staffordshire University,82.5,83.2,16.5,284,56.9,67.3,77.4,15.7,1663,480,免费评估
93,伯明翰城市大学Birmingham City University,81.4,81.5,4.3,316,69.1,65.2,86.5,19.1,1788,479,免费评估
93,龙比亚大学Napier University,80.1,83.3,4.6,350,72.3,73.9,82.5,20.1,1290,479,免费评估
95,格罗斯泰斯特主教大学Bishop Grosseteste University,86.3,86.2,2.1,287,67.1,67.9,90.0,25.1,1031,477,免费评估
96,利兹圣三一大学Leeds Trinity University,79.7,79.7,2.0,287,70.6,74.7,85.0,21.6,1630,468,免费评估
97,北安普顿大学The University of Northampton,80.4,82.1,3.2,281,56.8,66.3,85.8,18.6,2250,466,免费评估
98,索尔福德大学University of Salford,80.2,81.6,8.3,335,61.5,71.3,79.8,16.7,1641,465,免费评估
99,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,75.7,81.8,7.0,387,71.2,73.0,83.3,21.1,1523,460,免费评估
100,桑德兰大学University of Sunderland,80.5,83.1,5.8,290,66.8,54.6,80.3,16.3,1770,459,免费评估
101,中央兰开夏大学University of Central Lancashire,79.7,82.3,5.6,323,64.5,62.0,78.1,16.7,2067,457,免费评估
101,玛格丽特女王大学Queen Margaret University,80.6,83.3,6.6,352,57.8,73.2,79.7,18.3,1399,457,免费评估
101,蒂赛德大学Teesside University,83.1,84.8,3.6,306,66.4,57.5,80.6,17.4,1863,457,免费评估
104,布莱顿大学University of Brighton,77.6,79.5,7.9,305,71.3,66.9,84.1,17.4,1426,454,免费评估
105,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",82.9,85.4,0.0,290,63.0,60.6,82.1,21.5,1814,451,免费评估
106,西苏格兰大学University of the West of Scotland,82.1,83.6,4.3,327,69.9,65.5,79.0,19.8,1365,445,免费评估
107,格林威治大学The University of Greenwich,77.3,80.4,4.9,337,66.0,65.0,83.2,18.6,1763,442,免费评估
108,剑桥安鲁大学Anglia Ruskin University,83.5,84.0,5.4,257,56.8,64.8,80.6,17.3,1676,439,免费评估
109,伦敦艺术大学University of the Arts London,76.4,73.9,8.0,322,61.2,62.7,83.7,17.0,1686,437,免费评估
110,南安普顿索伦特大学Southampton Solent University,79.3,81.8,0.5,279,57.0,67.7,78.5,16.9,1695,431,免费评估
110,约克圣约翰大学York St John University,79.9,81.1,4.1,302,61.7,59.2,86.9,18.5,1463,431,免费评估
112,利兹贝克特大学Leeds Beckett University,79.2,83.8,4.1,292,66.1,65.3,78.7,20.7,1522,429,免费评估
112,纽曼大学Newman University,80.9,80.9,2.8,300,67.7,59.1,79.3,16.9,1561,429,免费评估
114,坎特伯雷大学Canterbury Christ Church University,79.8,80.8,4.5,276,61.0,66.8,80.8,16.0,1323,427,免费评估
115,南威尔士大学The University of South Wales,78.4,79.4,4.0,321,56.4,64.9,82.3,17.4,1661,418,免费评估
116,"特威克南圣玛丽大学St Mary's, Twickenham",79.0,83.3,4.0,293,70.1,59.4,81.3,20.2,1175,415,免费评估
117,威斯敏斯特大学University of Westminster,73.5,81.3,9.8,318,58.1,68.6,81.5,19.8,1675,407,免费评估
118,新白金汉大学Buckinghamshire New University,81.2,81.9,1.5,260,61.4,55.3,79.7,17.6,1947,403,免费评估
119,哥比亚大学University of Cumbria,80.0,78.8,1.2,292,66.3,61.6,84.3,19.7,1349,402,免费评估
120,伦敦南岸大学London South Bank University,77.1,81.2,9.0,256,75.4,60.4,73.2,17.2,1995,400,免费评估
121,贝德福德大学University of Bedfordshire,80.1,82.5,7.0,239,61.7,50.4,76.3,17.4,1969,393,免费评估
122,金斯顿大学Kingston University,75.2,79.7,5.1,291,64.6,64.3,81.3,19.3,1781,383,免费评估
123,东伦敦大学University of East London,79.9,82.6,7.2,278,52.3,59.1,73.3,20.0,1933,370,免费评估
124,波尔顿大学University of Bolton,82.4,81.6,2.9,290,59.1,55.0,71.0,15.9,1136,369,免费评估
125,格林多大学Glyndwr University,83.5,82.4,2.3,250,58.9,55.6,74.2,22.1,1533,358,免费评估
126,萨福克学院University Campus Suffolk,77.8,79.4,0.0,309,61.0,51.6,76.2,20.0,0,320,免费评估
127,伦敦都市大学London Metropolitan University,77.3,81.4,3.5,251,59.2,52.6,71.1,17.4,1210,313,免费评估
128,高地与群岛大学University of the Highlands and Islands,78.6,74.1,0.0,293,51.1,55.1,67.7,0.0,543,240,免费评估
