Ranking,University Name,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
18,爱丁堡大学The University of Edinburgh,73%,5.0,13.3,1294,430,92.2%,79.9%,74.9%,682,免费评估
19,兰卡斯特大学Lancaster University,78%,5.4,12.7,1227,375,92.5%,68.8%,60.9%,680,免费评估
20,格拉斯哥大学University of Glasgow,78%,4.3,13.4,1373,396,85.5%,68.4%,75%,657,免费评估
20,纽卡斯尔大学Newcastle University,75%,4.4,14.9,1481,394,92.3%,71.1%,75.3%,657,免费评估
22,谢菲尔德大学The University of Sheffield,76%,4.5,14.5,1140,403,92.4%,71.9%,73.7%,650,免费评估
23,东英吉利大学University of East Anglia,82%,5.0,17.9,1127,359,91.2%,67.5%,63%,647,免费评估
24,伦敦大学亚非学院SOAS University of London,71%,5.3,10.5,1746,368,84.4%,73.4%,68%,646,免费评估
25,伯明翰大学University of Birmingham,77%,4.3,15.3,1342,402,92.4%,68.4%,70.4%,643,免费评估
26,阿伯丁大学University of Aberdeen,80%,4.0,13.5,1168,350,78.8%,69.7%,76.2%,640,免费评估
27,曼彻斯特大学The University of Manchester,73%,5.1,12.8,1378,412,92.3%,70.5%,67.4%,638,免费评估
28,阿斯顿大学Aston University,76%,3.9,17.4,1607,351,88.4%,65.8%,76.4%,637,免费评估
29,卡迪夫大学Cardiff University,77%,4.5,14.3,1085,381,90.1%,67.6%,73.5%,628,免费评估
30,伦敦大学皇家霍洛威学院Royal Holloway University of London,74%,5.2,14.7,1244,361,88.2%,66.4%,66.9%,626,免费评估
31,利兹大学University of Leeds,75%,4.5,14.6,1014,385,92.1%,71.8%,67.3%,619,免费评估
31,英国女王大学Queen's University Belfast,77%,4.3,15.3,1222,364,86.6%,70.3%,76.1%,619,免费评估
31,雷丁大学University of Reading,78%,4.9,16.2,1012,340,91.7%,71.7%,63.3%,619,免费评估
34,利物浦大学The University of Liverpool,75%,4.6,13.3,1013,377,90%,67.6%,70.7%,610,免费评估
35,斯凯莱德大学,76%,3.6,16.8,1219,367,81.8%,74.6%,76.4%,604,免费评估
36,肯特大学University of Kent,79%,4.0,16.3,1143,307,87%,59.7%,70.5%,601,免费评估
37,伦敦大学玛丽女王学院Queen Mary University of London,75%,4.7,12.8,1173,340,88.5%,60.8%,75.1%,594,免费评估
38,萨塞克斯大学University of Sussex,69%,5.1,15.0,1136,387,88.3%,79.5%,62%,593,免费评估
39,萨里大学University of Surrey,72%,4.7,16.3,1156,339,86.8%,61.9%,77.3%,582,免费评估
40,斯特林大学University of Stirling,/,3.9,15.4,964,288,89.9%,67.9%,71.8%,581,免费评估
41,基尔大学Keele University,75%,4.0,15.3,1048,313,84.3%,64%,77.6%,578,免费评估
42,埃塞克斯大学University of Essex,75%,4.8,14.1,1149,309,83.4%,60.4%,62.8%,576,免费评估
43,亚伯大学Aberystwyth University,81%,4.0,19.0,997,296,89.8%,61.8%,56.2%,560,免费评估
44,邓迪大学University of Dundee,78%,4.2,13.7,971,373,68.7%,66.3%,73.9%,559,免费评估
45,赫尔大学The University of Hull,80%,3.2,18.6,934,297,83.9%,56.4%,71%,550,免费评估
46,伦敦大学金史密斯学院Goldsmiths University of London,73%,4.9,15.5,793,307,82.2%,64.8%,63.6%,546,免费评估
47,赫瑞瓦特大学Heriot Watt University,75%,4.2,16.6,1115,343,82.3%,55%,72.1%,542,免费评估
48,斯旺西大学Swansea University,77%,4.4,15.1,1010,295,88.3%,49.9%,61.4%,531,免费评估
49,布拉德福德大学University of Bradford,76%,3.4,15.0,1167,280,82.2%,60.5%,73.9%,528,免费评估
50,伦敦城市大学City University London,72%,3.7,18.1,878,321,85%,63.7%,77.1%,509,免费评估
51,班戈大学Bangor University,77%,3.9,18.4,1023,279,77%,55.6%,65.9%,502,免费评估
52,布鲁内尔大学Brunel University,69%,3.1,16.3,1475,313,85.4%,63.7%,63.6%,498,免费评估
53,阿尔斯特大学University of Ulster,75%,2.4,16.4,1462,278,77%,60.1%,62.1%,487,免费评估
54,罗伯特高登大学The Robert Gordon University,/,0.9,17.9,1070,321,79.8%,58.8%,77.6%,480,免费评估
55,牛津布鲁克斯大学Oxford Brookes University,76%,1.6,18.2,944,300,84.9%,59.1%,65.9%,471,免费评估
56,诺丁汉特伦特大学Nottingham Trent University,70%,1.4,18.0,990,269,89.1%,56.4%,74%,460,免费评估
57,伯恩茅斯大学Bournemouth University,72%,0.7,19.5,967,287,85.2%,57%,70.8%,445,免费评估
58,格罗斯特大学University of Gloucestershire,73%,1.7,17.2,1074,258,80.5%,54.9%,60.2%,436,免费评估
59,奇切斯特大学University of Chichester,78%,1.7,19.6,733,253,88%,46.7%,55.5%,434,免费评估
60,布莱顿大学University of Brighton,73%,1.7,19.6,806,288,83%,58.8%,67.7%,432,免费评估
61,朴茨茅斯大学University of Portsmouth,75%,1.7,19.4,917,272,81.4%,49.3%,65.4%,428,免费评估
62,普利茅斯大学University of Plymouth,74%,1.6,16.4,1000,277,81.2%,60.2%,55.3%,425,免费评估
63,中央兰开夏大学University of Central Lancashire,75%,0.9,17.5,984,271,76.9%,50.9%,64.4%,421,免费评估
64,龙比亚大学Napier University,/,0.8,17.9,915,257,73.3%,60.8%,77.9%,420,免费评估
65,西英格兰大学University of the West of England,74%,1.6,18.8,906,261,80.6%,55.9%,64.4%,415,免费评估
66,温切斯特大学University of Winchester,75%,1.5,17.9,796,267,84.5%,57.4%,49.7%,411,免费评估
67,斯塔福德大学,76%,1.1,17.6,1000,251,79.8%,52.5%,53.8%,410,免费评估
68,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,74%,1.2,19.8,850,311,74.8%,65.7%,60.5%,408,免费评估
68,玛格丽特女王大学Queen Margaret University,/,1.5,20.2,831,286,77.7%,58.5%,69.8%,408,免费评估
70,兰彼得大学University of Wales Lampeter,74%,4.4,25.0,480,274,76.9%,56.1%,58.8%,403,免费评估
71,伯明翰城市大学Birmingham City University,71%,0.8,15.8,1138,268,77.3%,56.6%,63.8%,401,免费评估
72,巴斯斯巴大学Bath Spa University,72%,1.5,19.5,563,274,85.7%,64.7%,55.2%,400,免费评估
73,诺桑比亚大学Northumbria University,73%,1.1,21.0,1010,292,80.7%,49.9%,66.4%,395,免费评估
74,考文垂大学Coventry University,76%,1.0,20.2,1004,261,73.7%,60.4%,62%,394,免费评估
75,伦敦艺术大学University of the Arts London,62%,4.4,20.8,870,304,87.1%,58.8%,51.5%,392,免费评估
76,谢菲尔德哈莱姆大学Sheffield Hallam University,72%,1.1,19.9,938,269,85%,58.1%,60.6%,391,免费评估
77,德蒙福特大学De Montfort University,72%,1.4,17.4,831,250,80.6%,49%,64.8%,388,免费评估
77,格拉摩根大学University of Glamorgan,75%,1.3,15.9,1123,237,69.3%,51.8%,58.4%,388,免费评估
79,赫特福德大学University of Hertfordshire,72%,1.4,15.6,1087,256,75.9%,47.7%,62.1%,383,免费评估
80,坎特伯雷大学Canterbury Christ Church University,74%,1.1,17.8,559,247,83.5%,47%,63.2%,382,免费评估
81,伍斯特大学University of Worcester,76%,0.8,19.7,814,245,80.8%,45.6%,62.7%,380,免费评估
82,桑德兰大学University of Sunderland,73%,1.7,16.1,737,249,77%,47.7%,59.3%,379,免费评估
83,索尔福德大学University of Salford,71%,2.1,18.4,923,269,73.2%,54.1%,63.5%,377,免费评估
84,北安普顿大学The University of Northampton,76%,1.0,19.0,786,225,80%,55.2%,56.3%,376,免费评估
85,威尔士大学卡迪夫学院,72%,0.8,19.9,1112,246,85.1%,48.6%,55.3%,375,免费评估
86,切斯特大学University of Chester,74%,0.5,17.9,734,274,76.1%,54.3%,57.6%,372,免费评估
86,罗汉普顿大学Roehampton University,71%,1.9,21.0,1308,224,79.5%,52.1%,56.9%,372,免费评估
88,蒂赛德大学Teesside University,77%,0.7,19.5,750,253,74.4%,50.2%,57.3%,360,免费评估
89,贝德福德大学University of Bedfordshire,73%,0.6,21.2,1685,220,75.4%,47%,59.6%,356,免费评估
90,哈德斯菲尔德大学University of Huddersfield,75%,0.9,19.8,616,262,78.9%,53.3%,53.2%,353,免费评估
91,约克圣约翰大学York St John University,72%,0.4,22.3,841,281,85.4%,50.7%,55.2%,347,免费评估
92,曼彻斯特城市大学Manchester Metropolitan University,71%,1.2,20.2,937,272,75.2%,51.3%,59.4%,345,免费评估
93,金斯顿大学Kingston University,71%,1.2,19.8,966,236,78.6%,50%,60.2%,340,免费评估
94,利物浦约翰摩尔斯大学Liverpool John Moores University,71%,1.2,19.5,902,250,77.1%,45.1%,61.3%,336,免费评估
95,德比大学University of Derby,73%,0.9,19.8,1054,267,77%,47.8%,49.5%,334,免费评估
96,纽波特大学University of Wales Newport,71%,0.5,20.1,890,219,74.9%,50.7%,60.4%,327,免费评估
97,南安普顿索伦特大学Southampton Solent University,71%,0.5,20.5,980,229,78.2%,43.1%,55.7%,326,免费评估
98,艾芝西尔大学Edge Hill University,76%,0.4,22.1,597,250,78.3%,44.4%,57%,322,免费评估
99,哥比亚大学University of Cumbria,68%,0.6,20.4,685,267,76.6%,47.5%,72.8%,320,免费评估
100,阿伯泰邓迪大学University of Abertay Dundee,/,0.7,20.3,1671,264,64%,47.6%,51.4%,317,免费评估
101,利兹都会大学Leeds Metropolitan University,68%,0.8,23.6,984,264,82.7%,53.6%,59.4%,316,免费评估
101,威斯敏斯特大学University of Westminster,68%,1.2,16.4,763,254,80.5%,49.6%,51%,316,免费评估
103,林肯大学University of Lincoln,70%,0.7,23.7,842,261,83.9%,52.9%,50.3%,312,免费评估
103,西苏格兰大学University of the West of Scotland,/,0.7,19.4,1099,255,68.7%,46.1%,62.3%,312,免费评估
105,米德塞斯大学Middlesex University,67%,1.3,22.1,1412,219,71.9%,47.3%,61.2%,301,免费评估
106,剑桥安鲁大学Anglia Ruskin University,70%,0.5,17.1,647,256,64.8%,52.3%,60.6%,297,免费评估
107,伍尔弗汉普顿大学University of Wolverhampton,72%,0.6,18.6,945,197,73.9%,41.1%,56.8%,286,免费评估
108,新白金汉大学Buckinghamshire New University,68%,0.8,18.7,999,203,82%,44.7%,45.2%,282,免费评估
109,东伦敦大学University of East London,70%,1.4,20.6,1218,187,68.5%,40.6%,59.4%,280,免费评估
110,格林威治大学The University of Greenwich,68%,1.2,23.4,824,212,79.7%,42.4%,63%,263,免费评估
111,波尔顿大学University of Bolton,74%,0.8,21.0,772,203,63.3%,52.6%,51.8%,262,免费评估
112,泰晤士河谷大学Thames Valley University,67%,0.4,20.6,747,212,69.5%,48.4%,62.7%,256,免费评估
113,伦敦南岸大学London South Bank University,72%,1.3,25.2,822,193,72%,48.4%,56.3%,245,免费评估
