Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
108,斯塔福德郡大学Staffordshire University,80.3,1.0,20.3,254,78.8,56.3,54.5,430,免费评估
109,格林多大学Glyndwr University,79.5,1.3,21.1,232,74.1,53.9,61.2,422,免费评估
110,剑桥安鲁大学Anglia Ruskin University,78.2,1.7,20.2,248,81.7,56.6,61.6,420,免费评估
111,金斯顿大学Kingston University,76.2,3.3,20.4,313,80.1,57.1,57.3,410,免费评估
112,西伦敦大学University of West London,78.1,2.0,21.6,234,73.4,51.1,62.3,393,免费评估
113,新白金汉大学Buckinghamshire New University,76.2,0.7,24.1,237,83.1,46.4,43.7,384,免费评估
114,南安普顿索伦特大学Southampton Solent University,74.9,0.7,20.5,282,76.7,58.8,48.5,383,免费评估
115,贝德福德大学University of Bedfordshire,76.6,1.7,22.5,214,79.1,50.2,53.5,378,免费评估
116,高地与群岛大学University of the Highlands and Islands,80.7,2.0,0.0,294,73.1,70.8,43.9,370,免费评估
117,西苏格兰大学University of the West of Scotland,78.2,4.7,21.7,288,65.8,56.0,56.5,369,免费评估
118,伦敦南岸大学London South Bank University,76.6,2.7,23.7,242,76.1,53.5,56.0,353,免费评估
119,波尔顿大学University of Bolton,77.0,2.0,20.6,270,68.6,49.2,52.8,341,免费评估
120,东伦敦大学University of East London,77.5,4.0,24.8,238,62.9,49.0,43.8,296,免费评估
121,伦敦都市大学London Metropolitan University,72.4,3.3,21.7,229,72.2,51.5,45.6,265,免费评估
