Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Services / facilities Spend,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
32,萨里大学University of Surrey,78%,2.1/9,18.0,1515,372,83.50%,68.10%,79.60%,606,免费评估
33,阿伯丁大学University of Aberdeen,82%,2.1/9,14.9,1344,357,80.00%,67.60%,76.80%,605,免费评估
34,卡迪夫大学Cardiff University,77%,2.1/9,14.9,1348,392,93.40%,69.00%,72.80%,604,免费评估
35,雷丁大学University of Reading,79%,2.4/9,16.7,1152,350,91.80%,69.80%,66.00%,595,免费评估
36,伦敦大学玛丽女王学院Queen Mary University of London,77%,2.3/9,12.9,1531,354,89.60%,64.60%,76.00%,592,免费评估
36,斯凯莱德大学,77%,1.8/9,17.7,1558,388,84.60%,71.70%,75.50%,592,免费评估
38,英国女王大学Queen's University Belfast,77%,2.0/9,15.2,1745,368,85.30%,68.50%,74.70%,588,免费评估
39,肯特大学University of Kent,80%,1.7/9,14.8,1245,319,86.80%,63.90%,68.60%,580,免费评估
40,亚伯大学Aberystwyth University,83%,2.1/9,16.0,1320,292,85.80%,60.10%,61.50%,568,免费评估
41,埃塞克斯大学University of Essex,77%,2.2/9,13.8,1672,311,86.50%,58.30%,60.20%,565,免费评估
42,基尔大学Keele University,79%,1.3/9,13.0,1141,302,88.50%,65.60%,68.30%,555,免费评估
43,赫瑞瓦特大学Heriot Watt University,74%,1.9/9,16.8,1726,338,82.60%,68.60%,74.70%,551,免费评估
44,邓迪大学University of Dundee,80%,1.6/9,14.0,1333,344,79.50%,68.40%,68.60%,549,免费评估
45,斯特林大学University of Stirling,78%,1.5/9,17.0,1205,314,82.90%,65.50%,67.60%,513,免费评估
46,罗伯特高登大学The Robert Gordon University,78%,0.6/9,18.7,1305,314,83.60%,56.90%,83.40%,509,免费评估
47,伦敦城市大学City University London,72%,1.5/9,18.6,1381,340,82.80%,68.20%,79.40%,506,免费评估
48,赫尔大学The University of Hull,81%,1.2/9,19.5,1216,290,82.40%,58.00%,70.00%,504,免费评估
49,斯旺西大学Swansea University,79%,1.7/9,14.9,1227,299,88.10%,56.00%,58.40%,501,免费评估
50,布鲁内尔大学Brunel University,73%,1.9/9,19.7,1531,315,86.20%,66.80%,66.10%,493,免费评估
51,牛津布鲁克斯大学Oxford Brookes University,78%,0.6/9,17.7,1206,309,85.60%,66.80%,67.00%,489,免费评估
52,伦敦大学金史密斯学院Goldsmiths University of London,73%,2.5/9,16.8,911,318,82.50%,66.00%,56.70%,479,免费评估
53,奇切斯特大学University of Chichester,82%,0.2/9,15.3,1105,270,87.00%,50.20%,59.90%,478,免费评估
54,班戈大学Bangor University,78%,1.7/9,17.1,1082,284,86.40%,56.90%,57.80%,469,免费评估
55,诺丁汉特伦特大学Nottingham Trent University,76%,0.5/9,18.2,1361,274,85.50%,55.10%,71.00%,467,免费评估
56,阿尔斯特大学University of Ulster,77%,1.2/9,15.9,1480,269,77.80%,61.20%,58.90%,452,免费评估
57,布拉德福德大学University of Bradford,76%,1.1/9,15.8,1170,275,79.80%,62.20%,71.10%,451,免费评估
57,德蒙福特大学De Montfort University,79%,0.6/9,16.3,1078,247,82.00%,51.50%,69.40%,451,免费评估
59,伯恩茅斯大学Bournemouth University,75%,0.5/9,23.8,1282,297,85.30%,61.50%,70.80%,447,免费评估
59,诺桑比亚大学Northumbria University,78%,0.3/9,21.3,1160,299,85.80%,56.20%,70.50%,447,免费评估
61,普利茅斯大学University of Plymouth,75%,0.8/9,15.3,1222,279,83.80%,61.80%,57.70%,435,免费评估
62,林肯大学University of Lincoln,78%,0.6/9,20.3,1073,273,83.50%,56.20%,60.60%,434,免费评估
63,赫特福德大学University of Hertfordshire,75%,0.4/9,15.6,1644,241,81.30%,59.50%,62.90%,429,免费评估
64,格罗斯特大学University of Gloucestershire,75%,0.3/9,18.1,1397,255,81.80%,60.90%,60.30%,424,免费评估
65,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,77%,0.4/9,20.7,1158,328,79.70%,66.00%,62.60%,423,免费评估
66,龙比亚大学Napier University,76%,0.4/9,19.2,1162,264,75.60%,63.90%,72.00%,421,免费评估
67,威尔士大学卡迪夫学院,76%,0.4/9,20.0,1432,260,82.50%,54.50%,61.10%,418,免费评估
67,玛格丽特女王大学Queen Margaret University,,0.5/9,19.7,1105,299,79.60%,63.40%,66.30%,418,免费评估
69,中央兰开夏大学University of Central Lancashire,77%,0.4/9,17.0,1606,263,73.90%,49.70%,61.00%,416,免费评估
69,西英格兰大学University of the West of England,77%,0.6/9,19.5,1184,273,81.10%,62.90%,60.00%,416,免费评估
71,布莱顿大学University of Brighton,75%,1.0/9,19.7,931,281,83.50%,58.90%,61.60%,415,免费评估
72,谢菲尔德哈莱姆大学Sheffield Hallam University,73%,0.4/9,18.3,1050,274,85.20%,63.00%,63.00%,413,免费评估
73,哈德斯菲尔德大学University of Huddersfield,75%,0.2/9,15.9,1409,272,77.70%,57.30%,61.10%,410,免费评估
74,朴茨茅斯大学University of Portsmouth,80%,0.6/9,20.2,1242,273,82.90%,51.30%,54.60%,405,免费评估
74,温切斯特大学University of Winchester,77%,0.5/9,17.4,936,270,85.40%,57.50%,51.60%,405,免费评估
76,艾芝西尔大学Edge Hill University,78%,0.1/9,18.0,1425,259,79.00%,47.60%,63.90%,402,免费评估
77,斯塔福德大学,76%,0.1/9,19.1,1274,241,79.80%,50.80%,67.40%,399,免费评估
78,哥比亚大学University of Cumbria,73%,0.1/9,15.2,1148,274,82.60%,50.60%,67.20%,398,免费评估
79,桑德兰大学University of Sunderland,79%,0.6/9,15.6,932,232,76.10%,48.60%,58.60%,396,免费评估
80,巴斯斯巴大学Bath Spa University,78%,0.4/9,24.2,653,283,90.30%,65.90%,55.10%,394,免费评估
81,伯明翰城市大学Birmingham City University,73%,0.3/9,18.0,1554,254,77.40%,56.20%,69.10%,391,免费评估
81,约克圣约翰大学York St John University,76%,0.2/9,19.9,1259,280,85.60%,56.20%,57.10%,391,免费评估
83,切斯特大学University of Chester,75%,0.2/9,17.5,854,268,79.00%,56.70%,65.60%,390,免费评估
84,考文垂大学Coventry University,74%,0.3/9,17.9,1155,274,76.40%,64.90%,64.20%,388,免费评估
85,威士学一大学,77%,1.1/9,17.8,1029,262,73.00%,53.60%,57.20%,377,免费评估
86,伦敦艺术大学University of the Arts London,63%,2.0/9,19.6,1008,280,85.70%,60.50%,56.20%,375,免费评估
87,罗汉普顿大学Roehampton University,72%,0.9/9,18.3,1292,245,82.10%,52.20%,57.70%,363,免费评估
88,索尔福德大学University of Salford,74%,1.0/9,18.5,1133,266,74.60%,52.30%,59.80%,358,免费评估
89,北安普顿大学The University of Northampton,77%,0.2/9,20.9,1123,240,80.60%,57.60%,54.90%,356,免费评估
90,伍斯特大学University of Worcester,76%,0.1/9,20.7,930,260,79.90%,52.10%,62.40%,355,免费评估
90,蒂赛德大学Teesside University,79%,0.2/9,19.5,1043,258,71.20%,53.50%,60.00%,355,免费评估
92,金斯顿大学Kingston University,74%,0.4/9,20.0,1134,235,81.50%,60.70%,57.70%,353,免费评估
93,格林多大学Glyndwr University,75%,0.2/9,21.0,1561,232,77.20%,52.80%,62.60%,348,免费评估
94,格拉摩根大学University of Glamorgan,74%,0.5/9,18.1,1244,271,69.80%,56.00%,56.10%,344,免费评估
95,曼彻斯特城市大学Manchester Metropolitan University,72%,0.5/9,19.8,1127,268,78.80%,57.20%,57.50%,341,免费评估
96,纽波特大学University of Wales Newport,75%,0.3/9,22.6,987,249,79.30%,52.50%,58.70%,331,免费评估
97,坎特伯雷大学Canterbury Christ Church University,74%,0.2/9,20.3,919,247,80.50%,49.20%,64.70%,329,免费评估
98,利物浦约翰摩尔斯大学Liverpool John Moores University,74%,0.4/9,19.7,1150,246,77.20%,53.60%,54.20%,328,免费评估
99,利兹都会大学Leeds Metropolitan University,68%,0.2/9,21.2,941,263,81.30%,53.40%,67.20%,323,免费评估
100,威斯敏斯特大学University of Westminster,69%,0.5/9,16.3,1032,267,79.30%,52.70%,53.20%,322,免费评估
101,贝德福德大学University of Bedfordshire,75%,0.2/9,19.3,728,200,82.70%,44.50%,60.20%,321,免费评估
102,阿伯泰邓迪大学University of Abertay Dundee,,0.4/9,20.8,1361,256,70.10%,54.00%,56.60%,314,免费评估
103,格林威治大学The University of Greenwich,78%,0.4/9,25.1,1023,241,75.70%,47.40%,59.70%,309,免费评估
104,德比大学University of Derby,74%,0.1/9,19.6,1367,237,74.20%,46.20%,56.80%,307,免费评估
104,米德塞斯大学Middlesex University,70%,0.6/9,22.8,2128,184,75.80%,50.30%,56.50%,307,免费评估
106,泰晤士河谷大学Thames Valley University,72%,0.2/9,20.6,1421,201,67.20%,49.20%,59.60%,278,免费评估
107,安格里亚鲁斯金大学,67%,0.2/9,19.6,1049,254,75.80%,55.40%,58.50%,272,免费评估
108,波尔顿大学University of Bolton,73%,0.3/9,18.0,734,209,62.60%,48.50%,56.50%,264,免费评估
109,创意艺术大学University for the Creative Arts,67%,0.6/9,24.3,1672,264,83.80%,50.00%,45.30%,251,免费评估
110,南安普顿索伦特大学Southampton Solent University,70%,0.1/9,22.1,1085,241,75.00%,42.30%,49.20%,244,免费评估
111,东伦敦大学University of East London,69%,0.5/9,22.3,1117,187,79.40%,46.40%,52.90%,234,免费评估
112,新白金汉大学Buckinghamshire New University,69%,0.1/9,20.5,1283,207,77.90%,43.80%,45.70%,232,免费评估
113,伦敦南岸大学London South Bank University,72%,0.3/9,23.4,976,192,66.40%,45.80%,58.50%,195,免费评估
