Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
33,哈珀亚当斯大学Harper Adams University,83.1,81.6,5.7,128,72.9,66.2,90.3,15.7,3459,643,免费评估
35,赫瑞瓦特大学Heriot Watt University,75.8,75.6,36.7,167,79.3,76.8,84.6,16.7,3219,636,免费评估
35,伦敦国王学院King's College London,73.1,71.2,44.0,170,84.5,86.4,87.4,12.5,2570,636,免费评估
37,诺丁汉特伦特大学Nottingham Trent University,83.8,82.5,6.5,144,81.7,71.9,85.8,14.8,2320,631,免费评估
38,莱斯特大学University of Leicester,76.7,76.9,31.8,136,75.4,79.0,92.7,13.7,2664,629,免费评估
38,英国女王大学Queen's University Belfast,77.9,77.5,39.7,152,82.4,80.0,91.2,15.8,2288,629,免费评估
40,雷丁大学University of Reading,76.7,72.2,36.5,138,76.0,79.1,92.1,15.0,2560,624,免费评估
41,萨塞克斯大学University of Sussex,75.2,74.3,31.8,144,80.4,75.9,91.6,16.4,2709,622,免费评估
42,University of Lincoln,83.1,82.4,10.3,129,81.4,73.5,88.7,14.9,2054,614,免费评估
43,白金汉大学The University of Buckingham,84.9,83.2,,128,81.5,68.7,84.0,11.3,2344,613,免费评估
44,斯特林大学University of Stirling,79.1,76.3,30.5,161,78.7,79.5,85.5,15.5,1823,608,免费评估
44,思克莱德大学University of Strathclyde,76.3,76.3,37.7,202,79.6,82.0,86.5,19.8,1819,608,免费评估
46,考文垂大学Coventry University,83.4,83.6,3.8,127,80.9,73.5,86.0,14.6,2305,595,免费评估
46,伦敦大学玛丽女王学院Queen Mary University of London,73.2,73.9,37.9,148,78.7,79.8,91.9,13.1,2524,595,免费评估
48,亚伯大学Aberystwyth University,86.5,84.1,28.1,119,78.2,67.3,83.2,16.6,1838,592,免费评估
48,基尔大学Keele University,83.3,83.4,22.1,128,82.1,71.4,89.6,14.2,1962,592,免费评估
50,利物浦大学The University of Liverpool,85.1,83.3,9.2,116,83.8,65.9,81.0,14.5,2094,590,免费评估
51,伯恩茅斯艺术大学Arts University Bournemouth,80.7,78.5,2.4,161,80.5,67.5,89.3,15.7,1786,584,免费评估
51,朴茨茅斯大学University of Portsmouth,81.6,81.0,8.6,119,85.4,75.2,85.1,15.4,2169,584,免费评估
53,伦敦大学亚非学院SOAS University of London,75.0,71.8,27.9,148,70.9,80.5,82.6,12.3,2376,583,免费评估
54,Leeds Arts University,85.4,82.7,,167,57.1,73.8,90.5,12.5,1238,574,免费评估
55,肯特大学University of Kent,77.2,77.0,35.2,138,78.3,78.5,88.3,18.4,1762,570,免费评估
56,阿斯顿大学Aston University,79.0,78.3,25.8,137,79.1,81.3,90.7,20.1,1937,565,免费评估
57,斯塔福德郡大学Staffordshire University,84.6,80.6,16.5,116,80.8,68.4,76.4,14.5,2180,562,免费评估
58,西英格兰大学University of the West of England,84.2,84.0,8.8,128,76.3,75.3,84.3,18.4,2440,560,免费评估
59,艾芝西尔大学Edge Hill University,82.9,81.1,4.9,131,77.2,71.9,85.4,15.2,2191,558,免费评估
60,阿尔斯特大学University of Ulster,82.4,81.5,31.8,126,71.9,73.5,82.9,17.1,1910,550,免费评估
61,诺桑比亚大学Northumbria University,79.9,79.4,9.0,145,75.4,77.0,86.2,16.7,2257,549,免费评估
62,哈德斯菲尔德大学University of Huddersfield,81.4,78.6,9.4,129,80.0,74.4,82.5,17.0,2234,541,免费评估
63,班戈大学Bangor University,83.3,81.5,27.2,134,67.8,69.3,88.2,16.7,1747,540,免费评估
63,牛津布鲁克斯大学Oxford Brookes University,79.7,78.4,11.4,130,77.4,74.6,87.8,16.1,2069,540,免费评估
65,德蒙福特大学De Montfort University,82.1,81.7,8.9,113,83.8,71.3,83.6,19.4,2181,530,免费评估
66,诺里奇艺术大学Norwich University of the Arts,82.0,77.0,5.6,144,60.6,72.8,87.2,15.8,2176,528,免费评估
67,谢菲尔德哈莱姆大学Sheffield Hallam University,82.4,80.8,5.4,124,73.8,75.3,86.3,16.9,2128,527,免费评估
68,伦敦城市大学City University London,77.8,78.8,22.6,142,73.4,71.8,87.2,17.9,2352,523,免费评估
69,曼彻斯特城市大学Manchester Metropolitan University,79.2,77.2,7.5,133,70.7,70.4,82.9,15.3,2599,520,免费评估
70,罗汉普顿大学Roehampton University,77.7,77.4,24.5,109,72.2,68.9,81.2,14.7,2216,519,免费评估
71,伦敦大学金史密斯学院Goldsmiths University of London,74.8,70.1,33.4,132,58.3,83.9,79.2,14.7,2539,518,免费评估
72,普利茅斯大学University of Plymouth,82.5,80.1,15.9,128,73.6,73.0,85.1,15.9,1763,517,免费评估
73,切斯特大学University of Chester,83.2,79.9,4.1,115,70.1,65.8,82.6,15.3,2838,515,免费评估
74,利物浦约翰摩尔斯大学Liverpool John Moores University,80.4,79.2,8.9,141,74.9,76.0,86.0,17.3,1730,514,免费评估
75,德比大学University of Derby,83.8,80.0,2.5,119,76.2,66.5,82.2,15.1,2015,511,免费评估
76,布鲁内尔大学Brunel University,73.8,74.4,25.4,132,70.9,75.1,87.1,16.4,2370,505,免费评估
77,"特威克南圣玛丽大学St Mary's, Twickenham",83.4,81.0,4.0,120,72.6,72.2,80.0,15.7,1749,504,免费评估
78,伯恩茅斯大学Bournemouth University,78.6,77.2,9.0,123,68.7,78.9,84.1,17.0,2278,499,免费评估
79,温切斯特大学University of Winchester,81.7,80.2,5.8,113,63.7,77.6,87.7,16.3,1605,496,免费评估
80,"圣乔治医学院St George's, University of London",72.7,71.7,22.2,166,93.8,75.7,92.6,12.4,2505,495,免费评估
81,格罗斯特大学University of Gloucestershire,81.9,79.7,3.8,124,72.9,71.8,83.4,19.0,2007,494,免费评估
81,索尔福德大学University of Salford,81.8,79.1,8.3,128,73.6,69.6,81.5,15.0,2014,494,免费评估
83,泰晤士河谷大学Thames Valley University,79.2,77.3,1.6,120,74.0,72.4,76.5,15.6,2893,492,免费评估
84,法尔茅斯大学Falmouth University,80.5,74.6,4.6,121,77.0,72.6,88.4,18.4,1456,491,免费评估
85,Solent University,82.0,78.8,0.5,117,70.4,71.3,78.7,15.7,2166,489,免费评估
85,蒂赛德大学Teesside University,82.5,78.9,3.6,120,81.3,66.0,81.6,17.2,2399,489,免费评估
87,伯明翰城市大学Birmingham City University,82.3,80.3,4.3,128,76.8,68.6,83.6,18.1,2026,488,免费评估
87,利兹圣三一大学Leeds Trinity University,83.9,82.3,2.0,101,68.1,78.6,83.4,19.5,1895,488,免费评估
89,University of Wales Trinity St David,85.4,80.8,2.6,106,66.0,69.0,78.2,15.0,1961,480,免费评估
90,赫特福德大学University of Hertfordshire,80.1,79.0,5.6,119,80.6,65.9,81.7,17.9,2439,476,免费评估
91,伍斯特大学University of Worcester,83.6,81.6,4.3,119,75.0,65.6,84.9,16.7,1519,474,免费评估
92,西苏格兰大学University of the West of Scotland,82.6,79.2,4.3,142,80.7,70.3,80.9,22.1,2166,473,免费评估
93,桑德兰大学University of Sunderland,82.1,79.0,5.8,120,67.1,66.7,78.1,15.6,2303,472,免费评估
94,伦敦艺术大学University of the Arts London,76.3,70.9,8.0,139,72.2,65.8,84.1,14.4,1805,471,免费评估
94,奇切斯特大学University of Chichester,80.2,79.1,6.4,125,64.6,69.4,88.2,15.1,1531,471,免费评估
96,罗伯特高登大学The Robert Gordon University,80.3,77.5,4.0,159,81.1,71.0,85.8,20.6,1448,469,免费评估
97,玛格丽特女王大学Queen Margaret University,78.4,74.7,6.6,149,72.9,78.7,80.1,18.5,1728,467,免费评估
98,布拉德福德大学University of Bradford,74.7,75.6,9.2,130,82.8,77.3,82.1,16.8,2021,462,免费评估
99,北安普顿大学The University of Northampton,80.8,76.6,3.2,108,68.2,68.8,82.9,18.7,2946,460,免费评估
100,格林威治大学The University of Greenwich,78.8,76.9,4.9,135,70.3,74.1,80.9,17.9,2203,458,免费评估
101,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,78.5,76.1,7.0,165,73.7,72.8,84.9,19.2,1588,455,免费评估
102,约克圣约翰大学York St John University,81.1,79.2,4.1,115,73.6,64.7,84.6,17.4,1831,453,免费评估
103,巴斯斯巴大学Bath Spa University,79.1,74.8,7.9,122,66.9,74.6,85.3,19.9,1851,450,免费评估
103,赫尔大学The University of Hull,78.5,75.8,16.7,123,76.0,67.3,82.2,18.3,2153,450,免费评估
105,阿伯泰邓迪大学University of Abertay Dundee,79.2,77.0,5.1,157,73.4,70.4,74.9,18.5,1905,446,免费评估
105,中央兰开夏大学University of Central Lancashire,78.6,76.5,5.6,130,76.9,70.4,78.9,16.4,1875,446,免费评估
107,伦敦南岸大学London South Bank University,77.1,75.2,9.0,107,87.7,68.9,77.0,16.5,2084,442,免费评估
108,卡迪夫都市大学Cardiff Metropolitan University,77.7,77.9,3.9,126,65.9,65.2,79.5,16.5,2599,440,免费评估
109,Plymouth Marjon University,86.3,82.6,0.0,129,63.7,65.5,84.1,22.7,1884,436,免费评估
110,金斯顿大学Kingston University,78.3,77.2,5.1,127,64.5,70.1,81.2,16.0,2362,432,免费评估
110,米德塞斯大学Middlesex University,75.0,73.9,9.7,118,73.5,67.4,72.8,16.6,3170,432,免费评估
110,南威尔士大学The University of South Wales,81.7,78.1,4.0,130,63.4,67.4,79.2,15.1,1721,432,免费评估
113,格罗斯泰斯特主教大学Bishop Grosseteste University,80.8,74.8,2.1,112,72.9,66.4,91.5,22.0,1833,430,免费评估
114,威斯敏斯特大学University of Westminster,73.4,74.0,9.8,124,70.4,71.9,82.9,17.0,2022,428,免费评估
115,东伦敦大学University of East London,81.4,80.1,7.2,114,65.3,63.9,73.3,17.0,2449,424,免费评估
115,皇家农学院Royal Agricultural University,75.4,75.3,1.1,123,63.5,65.8,95.2,21.6,2529,424,免费评估
117,新白金汉大学Buckinghamshire New University,83.5,81.0,1.5,112,68.8,56.6,76.2,16.0,2327,417,免费评估
118,坎特伯雷大学Canterbury Christ Church University,80.0,75.4,4.5,111,64.7,70.7,79.5,15.2,1913,413,免费评估
119,纽曼大学Newman University,81.2,78.5,2.8,120,64.7,65.3,77.8,16.0,1623,408,免费评估
120,龙比亚大学Napier University,72.8,72.3,4.6,150,73.8,74.7,81.5,18.8,1796,401,免费评估
121,贝德福德大学University of Bedfordshire,81.6,79.7,7.0,97,70.6,63.5,72.8,17.6,2157,400,免费评估
122,剑桥安鲁大学Anglia Ruskin University,82.4,79.1,5.4,106,68.3,71.3,79.2,18.2,1520,396,免费评估
123,布莱顿大学University of Brighton,77.3,73.4,7.9,118,67.2,69.3,85.5,18.2,1497,375,免费评估
124,利兹贝克特大学Leeds Beckett University,80.8,80.5,4.1,114,63.2,65.9,76.0,19.4,1633,367,免费评估
125,哥比亚大学University of Cumbria,77.2,71.5,1.2,120,73.6,61.1,83.5,16.7,1550,355,免费评估
126,波尔顿大学University of Bolton,85.6,82.0,2.9,114,57.4,59.4,68.9,14.7,1352,349,免费评估
127,伍尔弗汉普顿大学University of Wolverhampton,79.8,78.3,5.9,110,68.9,64.0,70.3,20.0,1859,345,免费评估
128,"伦敦大学伯克贝克学院Birkbeck, University Of London",77.3,73.9,34.6,102,69.0,57.2,64.3,15.8,1189,329,免费评估
129,Wrexham Glyndŵr University,80.3,73.2,2.3,112,63.5,66.6,71.1,19.2,1570,317,免费评估
130,萨福克学院University Campus Suffolk,75.8,70.9,,123,65.0,66.2,69.5,17.6,2290,313,免费评估
131,伦敦都市大学London Metropolitan University,78.5,74.6,3.5,102,70.7,52.3,68.8,21.6,1970,280,免费评估
132,Ravensbourne University London,71.9,67.9,,109,68.7,65.6,77.9,28.8,1731,257,免费评估
