Ranking,University Name,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
60,林肯大学University of Lincoln,82.9,5.0,338,67.6,57.9,87.6,18.6,1450,549,免费评估
61,温切斯特大学University of Winchester,83.5,4.0,322,51.7,70.0,89.2,17.3,1139,542,免费评估
62,谢菲尔德哈莱姆大学Sheffield Hallam University,83.0,4.0,321,59.7,65.6,86.1,18.4,1705,540,免费评估
63,哈珀亚当斯大学Harper Adams University,85.3,2.0,342,67.0,52.8,88.3,19.8,1183,539,免费评估
64,罗伯特高登大学The Robert Gordon University,81.3,5.3,384,80.5,63.2,81.3,19.3,1246,538,免费评估
65,奇切斯特大学University of Chichester,84.5,1.7,306,58.1,63.7,89.8,18.7,1125,532,免费评估
66,诺桑比亚大学Northumbria University,81.3,2.7,365,61.8,63.8,87.8,17.8,1486,528,免费评估
67,切斯特大学University of Chester,83.8,1.0,302,65.8,61.8,82.2,16.9,1509,527,免费评估
68,西英格兰大学University of the West of England,79.7,4.7,339,68.3,70.0,84.7,20.0,1750,526,免费评估
69,阿尔斯特大学University of Ulster,83.3,11.0,310,58.2,65.3,80.6,17.7,1524,523,免费评估
70,巴斯斯巴大学Bath Spa University,83.0,3.0,332,56.4,71.0,87.3,20.0,1046,522,免费评估
71,利物浦约翰摩尔斯大学Liverpool John Moores University,82.8,3.7,336,61.5,70.6,84.4,19.7,1308,518,免费评估
72,艾芝西尔大学Edge Hill University,83.9,0.7,308,58.3,59.3,85.2,16.8,1614,517,免费评估
73,罗汉普顿大学Roehampton University,82.6,7.7,287,56.9,62.1,81.8,20.2,2153,515,免费评估
74,创意艺术大学University for the Creative Arts,77.7,5.0,324,49.5,56.1,84.7,12.5,1901,511,免费评估
75,米德塞斯大学Middlesex University,81.7,5.0,287,56.8,59.3,76.5,20.5,2595,506,免费评估
76,布拉德福德大学University of Bradford,79.3,10.0,320,72.4,65.8,83.6,18.6,1426,505,免费评估
77,中央兰开夏大学University of Central Lancashire,82.1,3.7,337,59.3,57.5,79.8,16.8,1836,504,免费评估
77,哈德斯菲尔德大学University of Huddersfield,82.3,2.0,334,69.5,60.0,81.6,18.3,1288,504,免费评估
79,赫特福德大学University of Hertfordshire,78.3,3.3,344,68.5,66.8,83.3,18.3,1736,499,免费评估
80,普利茅斯大学University of Plymouth,81.8,6.7,316,57.9,63.0,84.6,16.2,1285,496,免费评估
81,德比大学University of Derby,83.5,1.0,305,54.4,60.2,83.1,16.8,1370,495,免费评估
82,布莱顿大学University of Brighton,79.4,9.7,319,65.8,67.3,84.2,18.3,1118,494,免费评估
83,格罗斯特大学University of Gloucestershire,80.6,2.0,295,58.0,69.9,87.6,23.6,1499,492,免费评估
84,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,79.2,3.0,370,67.9,68.5,80.9,20.9,1588,490,免费评估
85,伦敦艺术大学University of the Arts London,73.4,20.3,343,55.0,64.3,87.1,18.7,1562,488,免费评估
86,玛格丽特女王大学Queen Margaret University,80.2,3.3,339,63.3,73.1,79.7,20.5,1321,487,免费评估
87,约克圣约翰大学York St John University,80.2,1.0,302,64.5,63.5,91.3,21.1,1207,485,免费评估
88,伯恩茅斯大学Bournemouth University,78.1,4.3,336,63.6,64.5,87.3,21.6,1372,484,免费评估
89,曼彻斯特城市大学Manchester Metropolitan University,79.3,4.3,343,60.2,65.8,83.0,18.2,1206,483,免费评估
90,卡迪夫都市大学Cardiff Metropolitan University,82.5,3.3,304,58.7,52.9,85.3,20.3,1392,482,免费评估
91,伯明翰城市大学Birmingham City University,81.0,2.3,317,63.0,63.3,82.8,21.2,1563,479,免费评估
91,利兹圣三一大学Leeds Trinity University,83.4,1.7,280,65.8,56.0,84.8,23.6,1236,479,免费评估
93,亚伯大学Aberystwyth University,77.9,20.3,325,52.8,63.2,86.1,20.0,1167,476,免费评估
94,蒂赛德大学Teesside University,82.8,1.7,324,58.0,58.6,81.0,18.8,1329,467,免费评估
95,哥比亚大学University of Cumbria,82.3,0.3,288,62.1,66.9,84.9,20.8,816,465,免费评估
96,坎特伯雷大学Canterbury Christ Church University,80.9,1.7,277,59.9,66.7,82.1,18.9,1166,460,免费评估
97,龙比亚大学Napier University,81.6,3.0,348,61.2,67.3,75.1,21.6,1019,457,免费评估
98,格林威治大学The University of Greenwich,82.3,3.0,312,49.0,63.3,82.0,21.5,1403,453,免费评估
99,桑德兰大学University of Sunderland,81.4,4.7,302,50.9,54.3,80.3,17.9,1359,451,免费评估
100,"特威克南圣玛丽大学St Mary's, Twickenham",80.6,2.7,294,63.8,60.7,81.5,22.4,1005,449,免费评估
101,斯塔福德郡大学Staffordshire University,81.2,1.0,273,55.9,58.5,80.8,17.7,1416,448,免费评估
102,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",82.9,0.3,276,64.0,51.1,82.9,19.2,803,447,免费评估
102,格罗斯泰斯特主教大学Bishop Grosseteste University,83.9,0.3,279,67.0,57.0,92.0,30.2,446,447,免费评估
104,纽曼大学Newman University,83.1,0.3,302,57.2,52.7,77.2,18.1,1370,445,免费评估
105,索尔福德大学University of Salford,76.4,9.3,341,56.8,64.3,77.6,17.0,1481,440,免费评估
106,阿伯泰邓迪大学University of Abertay Dundee,78.8,3.0,330,61.1,64.3,73.2,21.3,1436,435,免费评估
107,伍斯特大学University of Worcester,79.3,0.3,300,60.7,58.5,85.4,21.1,984,426,免费评估
108,贝德福德大学University of Bedfordshire,81.9,1.7,225,59.3,50.7,82.3,20.9,1440,425,免费评估
109,西伦敦大学University of West London,78.5,2.0,256,67.6,52.0,77.6,18.3,1637,424,免费评估
110,剑桥安鲁大学Anglia Ruskin University,83.4,1.7,252,58.5,51.6,82.5,23.0,1279,422,免费评估
111,利兹都会大学Leeds Metropolitan University,78.9,2.0,280,55.6,61.2,79.5,19.9,1188,420,免费评估
112,威斯敏斯特大学University of Westminster,77.7,5.0,317,50.6,64.1,79.1,20.3,1359,418,免费评估
113,格林多大学Glyndwr University,76.9,1.3,289,63.7,53.5,78.0,20.1,1815,407,免费评估
114,南威尔士大学The University of South Wales,77.0,3.7,322,55.4,59.9,80.8,21.6,1313,404,免费评估
115,南安普顿索伦特大学Southampton Solent University,77.2,0.7,299,50.5,61.1,76.4,18.8,1335,398,免费评估
116,新白金汉大学Buckinghamshire New University,76.4,0.7,250,53.7,53.3,82.9,22.2,2051,390,免费评估
117,金斯顿大学Kingston University,75.7,3.3,298,54.4,59.0,79.6,19.4,1378,376,免费评估
118,西苏格兰大学University of the West of Scotland,78.9,4.7,299,58.4,58.5,67.8,22.0,1279,370,免费评估
119,东伦敦大学University of East London,81.1,4.0,278,50.5,54.2,67.4,26.3,1451,360,免费评估
120,波尔顿大学University of Bolton,79.1,2.0,276,57.4,50.6,71.9,19.9,927,355,免费评估
121,高地与群岛大学University of the Highlands and Islands,78.9,2.0,298,49.1,70.6,67.4,,545,324,免费评估
122,伦敦南岸大学London South Bank University,77.7,2.7,233,49.0,59.7,72.4,24.2,1250,320,免费评估
123,伦敦都市大学London Metropolitan University,74.1,3.3,239,46.1,51.3,70.5,21.5,619,253,免费评估
