Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
44,赫瑞瓦特大学Heriot Watt University,76.0,1.7,19.1,335,85.4,68.0,68.8,594,免费评估
45,基尔大学Keele University,80.0,1.2,14.5,310,90.2,61.6,67.5,589,免费评估
46,斯特林大学University of Stirling,79.0,1.3,19.3,305,86.6,63.6,66.2,576,免费评估
47,伦敦城市大学City University London,73.0,1.4,17.6,361,88.1,64.5,70.6,571,免费评估
48,牛津布鲁克斯大学Oxford Brookes University,79.0,0.6,18.1,314,88.5,67.1,62.0,557,免费评估
49,斯旺西大学Swansea University,77.0,1.5,16.5,314,89.4,57.7,60.3,555,免费评估
50,伦敦大学金史密斯学院Goldsmiths University of London,74.0,2.3,17.6,327,82.8,66.5,53.8,549,免费评估
51,布鲁内尔大学Brunel University,73.0,1.6,20.2,325,87.8,65.7,59.3,547,免费评估
52,罗伯特高登大学The Robert Gordon University,78.0,0.5,19.0,295,82.2,60.2,76.7,543,免费评估
53,赫尔大学The University of Hull,81.0,1.1,20.1,309,83.4,52.0,64.6,539,免费评估
54,奇切斯特大学University of Chichester,81.0,0.2,16.6,290,88.8,54.0,54.4,530,免费评估
55,林肯大学University of Lincoln,79.0,0.5,19.7,289,86.1,57.7,55.9,523,免费评估
56,阿尔斯特大学University of Ulster,78.0,1.1,17.0,266,84.4,60.4,53.9,522,免费评估
57,班戈大学Bangor University,79.0,1.5,20.7,288,81.1,57.1,59.7,520,免费评估
58,普利茅斯大学University of Plymouth,75.0,0.7,16.4,297,84.9,61.4,64.3,518,免费评估
59,哈德斯菲尔德大学University of Huddersfield,77.0,0.2,17.6,273,77.6,56.1,69.5,511,免费评估
60,诺桑比亚大学Northumbria University,77.0,0.3,19.7,300,81.8,58.6,68.0,508,免费评估
61,中央兰开夏大学University of Central Lancashire,78.0,0.4,18.4,260,80.9,52.8,59.6,505,免费评估
62,伯恩茅斯大学Bournemouth University,74.0,0.4,23.6,297,87.0,63.6,61.1,503,免费评估
62,布拉德福德大学University of Bradford,77.0,1.0,17.5,268,78.6,57.5,69.4,503,免费评估
64,赫特福德大学University of Hertfordshire,76.0,0.3,18.5,244,83.9,62.1,59.7,501,免费评估
65,格罗斯特大学University of Gloucestershire,76.0,0.2,20.6,264,84.2,63.0,57.8,495,免费评估
66,诺丁汉特伦特大学Nottingham Trent University,74.0,0.4,19.3,287,84.1,54.8,60.6,493,免费评估
67,朴茨茅斯大学University of Portsmouth,79.0,0.5,20.5,283,84.4,50.9,56.7,492,免费评估
67,西英格兰大学University of the West of England,76.0,0.5,20.7,278,82.1,62.2,61.4,492,免费评估
69,布莱顿大学University of Brighton,76.0,0.9,18.8,290,82.5,61.4,55.5,490,免费评估
69,温切斯特大学University of Winchester,75.0,0.4,17.7,280,83.9,60.5,54.0,490,免费评估
71,切斯特大学University of Chester,76.0,0.1,17.2,273,79.2,57.9,63.4,485,免费评估
71,威尔士大学卡迪夫学院,76.0,0.3,20.7,267,84.7,55.3,55.3,485,免费评估
71,谢菲尔德哈莱姆大学Sheffield Hallam University,74.0,0.4,19.8,289,84.0,61.6,61.8,485,免费评估
71,龙比亚大学Napier University,76.0,0.3,21.6,296,75.5,61.3,69.3,485,免费评估
75,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,77.0,0.3,20.9,302,79.7,68.4,57.3,484,免费评估
76,考文垂大学Coventry University,74.0,0.2,15.7,298,77.6,61.4,59.9,482,免费评估
77,艾芝西尔大学Edge Hill University,79.0,0.1,18.5,260,79.1,51.1,63.2,481,免费评估
78,玛格丽特女王大学Queen Margaret University,,0.3,21.7,309,80.7,68.7,61.8,479,免费评估
79,罗汉普顿大学Roehampton University,73.0,0.8,18.8,259,82.0,54.7,59.9,477,免费评估
80,桑德兰大学University of Sunderland,78.0,0.5,15.8,246,78.6,49.8,54.8,475,免费评估
80,蒂赛德大学Teesside University,79.0,0.2,19.5,271,78.0,52.6,61.9,475,免费评估
82,伦敦艺术大学University of the Arts London,64.0,1.9,20.2,276,89.0,64.8,53.1,473,免费评估
82,哥比亚大学University of Cumbria,71.0,0.0,16.3,263,84.8,55.8,66.2,473,免费评估
84,巴斯斯巴大学Bath Spa University,75.0,0.3,21.1,293,89.0,69.0,46.5,471,免费评估
85,德蒙福特大学De Montfort University,78.0,0.6,17.5,259,81.8,49.8,52.8,469,免费评估
86,约克圣约翰大学York St John University,76.0,0.1,21.2,282,85.6,58.3,51.8,463,免费评估
87,伯明翰城市大学Birmingham City University,73.0,0.2,20.9,263,78.7,53.7,67.7,458,免费评估
88,坎特伯雷大学Canterbury Christ Church University,74.0,0.2,18.6,247,84.5,54.5,63.3,457,免费评估
89,斯塔福德郡大学Staffordshire University,77.0,0.1,21.7,241,79.4,52.4,60.7,456,免费评估
91,索尔福德大学University of Salford,74.0,0.9,23.8,280,86.4,55.3,55.1,447,免费评估
92,北安普顿大学The University of Northampton,77.0,0.2,22.9,238,83.1,60.9,52.9,446,免费评估
93,格拉摩根大学University of Glamorgan,74.0,0.4,20.2,279,74.4,57.6,54.3,445,免费评估
94,伍斯特大学University of Worcester,74.0,0.1,21.9,271,84.4,54.4,60.8,444,免费评估
94,米德塞斯大学Middlesex University,71.0,0.5,21.0,207,72.4,55.8,57.8,444,免费评估
96,威斯敏斯特大学University of Westminster,69.0,0.5,17.1,273,79.5,56.1,55.1,439,免费评估
97,金斯顿大学Kingston University,74.0,0.3,19.9,243,80.4,61.9,52.3,435,免费评估
98,曼彻斯特城市大学Manchester Metropolitan University,72.0,0.4,20.6,271,78.7,57.0,57.1,433,免费评估
99,格林威治大学The University of Greenwich,79.0,0.3,23.3,215,79.8,46.7,54.7,432,免费评估
100,利物浦约翰摩尔斯大学Liverpool John Moores University,74.0,0.4,20.9,263,80.8,59.2,50.5,429,免费评估
101,阿伯泰邓迪大学University of Abertay Dundee,,0.3,19.4,252,74.2,51.0,57.7,425,免费评估
102,创意艺术大学University for the Creative Arts,66.0,0.5,21.6,269,85.2,53.3,50.8,420,免费评估
102,格林多大学Glyndwr University,74.0,0.1,22.5,231,76.1,49.4,65.5,420,免费评估
104,利兹都会大学Leeds Metropolitan University,71.0,0.2,20.6,267,82.6,52.9,55.5,418,免费评估
104,纽波特大学University of Wales Newport,74.0,0.3,22.5,252,79.5,49.3,54.5,418,免费评估
106,贝德福德大学University of Bedfordshire,74.0,0.2,19.1,187,76.2,44.4,61.2,417,免费评估
107,德比大学University of Derby,75.0,0.1,20.5,250,73.2,50.1,52.3,412,免费评估
108,剑桥安鲁大学Anglia Ruskin University,70.0,0.2,22.7,254,82.4,56.9,55.5,398,免费评估
109,南安普顿索伦特大学Southampton Solent University,73.0,0.1,21.5,266,74.3,42.7,46.2,384,免费评估
110,新白金汉大学Buckinghamshire New University,69.0,0.1,22.3,212,81.8,49.3,48.8,376,免费评估
112,西苏格兰大学University of the West of Scotland,,0.1,20.1,241,67.9,43.1,58.3,351,免费评估
113,伦敦南岸大学London South Bank University,74.0,0.3,23.3,201,76.1,33.9,49.3,337,免费评估
114,波尔顿大学University of Bolton,73.0,0.2,20.4,222,66.2,45.7,45.4,332,免费评估
115,东伦敦大学University of East London,70.0,0.4,23.3,200,74.5,44.4,48.6,328,免费评估
116,伦敦城市大学City University London,65.0,0.3,19.7,221,68.3,49.8,45.5,304,免费评估
