Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
44,考文垂大学Coventry University,84.0,84.4,3.8,129,81.4,71.3,86.9,14.6,2234,624,免费评估
45,斯特林大学University of Stirling,79.7,76.6,30.5,158,74.8,81.3,87.0,15.8,1814,619,免费评估
46,阿斯顿大学Aston University,82.8,82.0,25.8,137,79.7,75.8,90.5,20.9,2132,618,免费评估
47,亚伯大学Aberystwyth University,86.2,84.2,28.1,116,74.3,68.5,85.0,16.4,1845,615,免费评估
47,白金汉大学The University of Buckingham,87.2,85.9,,122,75.0,62.0,78.1,10.4,2185,615,免费评估
47,诺丁汉特伦特大学Nottingham Trent University,84.8,83.1,6.5,136,76.7,69.9,87.4,15.8,2061,615,免费评估
50,基尔大学Keele University,82.9,83.1,22.1,134,79.5,67.5,90.7,13.9,2018,609,免费评估
51,伯恩茅斯艺术大学Arts University Bournemouth,83.2,79.0,2.4,147,79.5,65.5,88.2,15.1,1731,608,免费评估
52,利物浦霍普大学Liverpool Hope University,86.9,85.8,9.2,117,80.5,63.8,78.7,15.5,2080,603,免费评估
53,朴茨茅斯大学University of Portsmouth,82.4,81.3,8.6,124,80.3,73.9,86.0,15.4,2159,599,免费评估
54,林肯大学University of Lincoln,82.1,81.7,10.3,130,76.2,68.2,89.1,15.6,1921,587,免费评估
55,班戈大学Bangor University,83.9,83.4,27.2,134,69.5,66.7,85.4,16.2,1704,579,免费评估
56,泰晤士河谷大学Thames Valley University,85.3,82.9,1.6,119,70.5,69.5,79.8,15.6,2837,575,免费评估
57,西英格兰大学University of the West of England,83.0,82.8,8.8,126,77.1,72.6,84.4,18.1,2544,574,免费评估
58,创意艺术大学University for the Creative Arts,80.7,76.9,3.4,128,61.2,72.5,81.3,12.6,2701,573,免费评估
59,布鲁内尔大学Brunel University,77.3,78.2,25.4,134,73.1,73.4,88.6,15.8,2106,568,免费评估
60,诺里奇艺术大学Norwich University of the Arts,84.1,79.1,5.6,135,66.8,70.8,82.0,17.1,1806,544,免费评估
61,切斯特大学University of Chester,82.7,79.6,4.1,119,69.5,64.0,80.7,13.5,2640,543,免费评估
61,艾芝西尔大学Edge Hill University,81.7,79.0,4.9,128,70.4,69.4,84.2,14.2,2147,543,免费评估
63,伦敦大学金史密斯学院Goldsmiths University of London,76.3,72.0,33.4,134,55.4,81.3,80.0,14.1,2337,541,免费评估
63,斯塔福德郡大学Staffordshire University,84.1,80.3,16.5,115,79.8,65.8,76.0,15.2,1766,541,免费评估
65,哈德斯菲尔德大学University of Huddersfield,83.4,80.8,9.4,131,78.6,70.9,80.8,18.9,1986,539,免费评估
66,Northumbria University,80.0,79.5,9.0,144,72.5,74.6,86.1,17.1,1944,536,免费评估
67,德蒙福特大学De Montfort University,81.6,81.6,8.9,111,80.4,67.3,83.9,19.1,2177,532,免费评估
67,利兹圣三一大学Leeds Trinity University,85.5,83.5,2.0,108,68.0,77.6,86.8,21.4,1769,532,免费评估
69,法尔茅斯大学Falmouth University,82.5,76.7,4.6,124,72.0,73.4,86.6,17.7,1440,531,免费评估
70,利物浦约翰摩尔斯大学Liverpool John Moores University,82.3,81.2,8.9,138,72.7,74.6,83.3,17.5,1557,527,免费评估
70,谢菲尔德哈莱姆大学Sheffield Hallam University,82.0,80.0,5.4,120,69.3,73.5,86.1,16.6,2101,527,免费评估
72,奇切斯特大学University of Chichester,83.9,82.1,6.4,122,62.7,70.0,90.2,15.6,1337,525,免费评估
73,阿尔斯特大学University of Ulster,80.5,79.2,31.8,126,67.8,71.6,83.5,18.8,1835,519,免费评估
74,罗汉普顿大学Roehampton University,76.7,76.6,24.5,108,69.3,68.2,82.2,14.3,2126,518,免费评估
75,布拉德福德大学University of Bradford,78.2,79.3,9.2,128,80.8,74.6,83.5,16.0,2108,517,免费评估
75,伦敦城市大学City University London,76.8,77.5,21.4,140,69.4,73.6,86.6,18.0,2378,517,免费评估
75,赫尔大学The University of Hull,79.5,77.0,16.7,126,76.1,69.5,84.4,16.5,2151,517,免费评估
75,"圣乔治医学院St George's, University of London",74.3,75.3,22.2,162,93.6,72.4,94.6,12.5,2552,517,免费评估
79,伯恩茅斯大学Bournemouth University,77.6,76.5,9.0,123,70.1,77.2,84.1,16.5,2204,516,免费评估
80,Manchester Metropolitan University,79.2,78.3,7.5,134,69.5,68.9,83.9,15.6,2084,515,免费评估
81,德比大学University of Derby,83.1,79.1,2.5,112,74.1,67.0,82.2,14.8,1914,514,免费评估
82,罗伯特高登大学The Robert Gordon University,80.5,78.6,4.0,164,77.8,69.5,85.1,18.1,1474,509,免费评估
83,格罗斯特大学University of Gloucestershire,82.1,80.7,3.8,121,68.8,70.9,85.7,19.1,1866,508,免费评估
84,牛津布鲁克斯大学Oxford Brookes University,78.2,77.2,11.4,129,72.5,73.0,89.7,16.6,1623,506,免费评估
85,温切斯特大学University of Winchester,80.4,78.4,5.8,113,63.1,76.7,88.0,15.9,1533,505,免费评估
86,普利茅斯大学University of Plymouth,80.9,79.7,15.9,125,71.5,70.6,84.5,16.1,1659,501,免费评估
86,皇家农学院Royal Agricultural University,78.4,78.8,1.1,114,64.5,68.9,94.5,21.8,2705,501,免费评估
88,索尔福德大学University of Salford,81.1,79.0,8.3,127,71.1,73.1,81.5,16.6,1814,494,免费评估
89,赫特福德大学University of Hertfordshire,78.9,78.6,5.6,119,78.8,66.0,86.5,17.6,2278,492,免费评估
90,卡迪夫都市大学Cardiff Metropolitan University,80.6,80.0,3.9,128,63.8,63.7,80.8,17.2,2512,481,免费评估
91,米德塞斯大学Middlesex University,78.1,77.2,9.7,117,59.2,65.9,77.6,16.6,3140,477,免费评估
92,蒂赛德大学Teesside University,81.3,76.7,3.6,119,79.6,63.8,79.8,16.6,2152,474,免费评估
93,中央兰开夏大学University of Central Lancashire,80.3,77.7,5.6,137,70.0,68.1,79.5,16.2,1945,473,免费评估
94,巴斯斯巴大学Bath Spa University,80.0,75.8,7.9,120,64.0,73.2,85.0,18.7,1592,465,免费评估
95,格罗斯泰斯特主教大学Bishop Grosseteste University,83.7,76.9,2.1,112,70.9,69.2,91.6,22.3,1299,463,免费评估
96,桑德兰大学University of Sunderland,80.2,78.9,5.8,112,68.3,63.7,76.3,15.4,2064,460,免费评估
97,北安普顿大学The University of Northampton,79.8,77.0,3.2,108,63.4,69.4,83.4,18.5,2577,458,免费评估
98,阿伯泰邓迪大学University of Abertay Dundee,80.3,76.5,5.1,158,66.1,69.9,76.9,19.9,1842,456,免费评估
99,"特威克南圣玛丽大学St Mary's, Twickenham",80.9,80.2,4.0,123,73.3,59.7,80.5,17.9,1593,451,免费评估
100,南安普顿索伦特大学Southampton Solent University,79.4,77.6,0.5,109,64.1,69.7,77.1,15.5,1995,450,免费评估
100,西苏格兰大学University of the West of Scotland,81.6,76.6,4.3,143,72.1,70.2,80.1,20.2,1747,450,免费评估
102,玛格丽特女王大学Queen Margaret University,74.9,71.3,6.6,139,76.7,77.8,79.2,18.1,1569,449,免费评估
102,伍斯特大学University of Worcester,81.7,80.0,4.3,120,66.5,63.0,84.3,16.4,1450,449,免费评估
104,圣大卫三一学院University of Wales Trinity Saint David,83.6,78.7,2.6,109,53.0,66.7,78.9,15.4,2043,447,免费评估
105,伯明翰城市大学Birmingham City University,81.0,77.9,4.3,122,70.6,67.3,81.2,18.7,1900,446,免费评估
106,伦敦南岸大学London South Bank University,79.0,77.5,9.0,107,82.1,63.9,74.6,17.0,2248,443,免费评估
106,威斯敏斯特大学University of Westminster,75.5,76.5,9.8,123,67.2,70.4,81.7,17.9,1917,443,免费评估
108,贝德福德大学University of Bedfordshire,80.1,78.9,7.0,97,68.6,65.8,75.3,16.9,2201,439,免费评估
109,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,76.1,74.5,7.0,165,69.7,74.4,82.6,19.4,1565,436,免费评估
109,格林威治大学The University of Greenwich,77.5,76.2,4.9,133,66.4,67.5,83.4,17.8,2049,436,免费评估
111,坎特伯雷大学Canterbury Christ Church University,79.8,74.9,4.5,113,63.9,70.0,83.3,16.3,1658,433,免费评估
112,布莱顿大学University of Brighton,79.2,76.0,7.9,119,68.7,70.5,82.1,17.4,1458,431,免费评估
113,剑桥安鲁大学Anglia Ruskin University,82.1,79.5,5.4,102,68.3,69.4,78.9,17.8,1709,428,免费评估
114,东伦敦大学University of East London,81.3,79.3,7.2,116,62.1,61.7,71.4,16.8,2277,424,免费评估
115,伦敦艺术大学University of the Arts London,76.5,71.8,8.0,122,56.6,64.2,87.0,15.9,1644,417,免费评估
116,龙比亚大学Napier University,76.5,75.4,4.6,148,65.7,74.4,79.2,19.1,1578,416,免费评估
117,金斯顿大学Kingston University,76.3,76.7,5.1,118,63.5,67.9,82.2,17.3,2085,405,免费评估
118,约克圣约翰大学York St John University,80.8,78.8,4.1,120,55.8,56.4,86.4,17.4,1692,401,免费评估
119,Plymouth Marjon University,81.5,78.7,,137,59.9,58.2,80.7,21.3,1995,399,免费评估
119,南威尔士大学The University of South Wales,77.9,74.2,4.0,128,62.4,66.5,80.8,17.9,1810,399,免费评估
121,纽曼大学Newman University,78.9,76.2,2.8,117,63.4,62.8,78.6,16.1,1627,393,免费评估
122,"伦敦大学伯克贝克学院Birkbeck, University Of London",76.7,73.8,34.6,104,73.3,58.9,68.0,16.0,858,383,免费评估
123,利兹贝克特大学Leeds Beckett University,79.3,79.1,4.1,114,62.9,64.6,75.6,19.9,1591,375,免费评估
124,波尔顿大学University of Bolton,82.1,78.5,2.9,114,65.1,58.7,68.4,15.1,1272,368,免费评估
125,哥比亚大学University of Cumbria,75.8,70.6,1.2,118,69.1,61.2,84.1,17.8,1504,347,免费评估
126,新白金汉大学Buckinghamshire New University,78.5,76.4,1.5,109,62.0,55.5,77.1,17.5,2047,344,免费评估
127,格林多大学Glyndwr University,81.9,76.5,2.3,107,62.9,64.0,67.7,20.9,1490,332,免费评估
128,伦敦都市大学London Metropolitan University,78.5,75.0,3.5,105,65.1,50.2,72.7,18.1,1417,307,免费评估
129,萨福克学院University Campus Suffolk,77.7,74.9,,113,65.9,56.9,72.5,19.2,683,263,免费评估
