Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Services / facilities Spend,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
63,普利茅斯大学University of Plymouth,75%,0.7,15.7,955,268,84.3%,61.5%,58%,435,免费评估
64,诺桑比亚大学Northumbria University,76%,0.3,20.0,1063,291,80.3%,54.1%,73%,434,免费评估
65,龙比亚大学Napier University,..,0.4,18.2,895,291,72.6%,62.4%,72.9%,430,免费评估
66,德蒙福特大学De Montfort University,77%,0.6,17.0,882,248,81.5%,51.1%,65.7%,424,免费评估
66,赫特福德大学University of Hertfordshire,73%,0.3,14.4,1593,244,82.3%,47.3%,65.3%,424,免费评估
68,格罗斯特大学University of Gloucestershire,74%,0.3,16.5,1190,239,82.1%,56.2%,64.2%,421,免费评估
69,谢菲尔德哈莱姆大学Sheffield Hallam University,73%,0.4,18.1,937,268,83.8%,61.3%,64.2%,420,免费评估
70,布莱顿大学University of Brighton,74%,0.8,20.0,800,278,84.7%,58.5%,65.3%,417,免费评估
71,考文垂大学Coventry University,75%,0.3,19.1,1122,280,75.2%,61%,67.5%,414,免费评估
71,贝德福德大学University of Bedfordshire,75%,0.2,15.6,1431,215,75.1%,47.8%,66.7%,414,免费评估
73,温切斯特大学University of Winchester,77%,0.4,17.2,867,261,85.6%,55.7%,55.6%,411,免费评估
74,巴斯斯巴大学Bath Spa University,77%,0.4,21.6,615,287,87%,67.7%,59%,410,免费评估
74,斯塔福德大学,76%,0.1,17.5,1092,232,78.1%,53%,69%,410,免费评估
76,威尔士大学卡迪夫学院,74%,0.4,19.9,1205,261,83.2%,51.8%,61.5%,401,免费评估
77,伯明翰城市大学Birmingham City University,72%,0.2,16.5,1217,258,75.5%,57.3%,65.7%,393,免费评估
78,中央兰开夏大学University of Central Lancashire,76%,0.4,20.2,1083,252,72.9%,49.3%,70.1%,392,免费评估
79,兰彼得大学University of Wales Lampeter,74%,1.0,14.6,482,252,82.7%,52.8%,61.8%,391,免费评估
80,约克圣约翰大学York St John University,75%,0.2,20.0,1042,288,84.5%,52.9%,58.8%,390,免费评估
81,伍斯特大学University of Worcester,76%,0.1,20.0,869,236,83.9%,48.4%,68.2%,389,免费评估
81,蒂赛德大学Teesside University,77%,0.2,19.3,808,257,72.7%,52.4%,67.3%,389,免费评估
83,哥比亚大学University of Cumbria,70%,0.1,14.9,741,256,84.2%,48.8%,71.4%,384,免费评估
84,桑德兰大学University of Sunderland,77%,0.5,16.1,775,226,75.6%,50.2%,59.3%,383,免费评估
84,索尔福德大学University of Salford,73%,0.9,18.6,987,253,76.4%,55.1%,62.7%,383,免费评估
86,林肯大学University of Lincoln,75%,0.5,23.7,865,266,85%,57.1%,60.4%,381,免费评估
87,哈德斯菲尔德大学University of Huddersfield,74%,0.2,16.1,897,265,81.2%,51.9%,56.9%,378,免费评估
88,艾芝西尔大学Edge Hill University,78%,0.1,19.8,1082,248,79.2%,46.1%,56.8%,373,免费评估
89,金斯顿大学Kingston University,73%,0.4,19.1,1012,236,79.4%,60.1%,61%,372,免费评估
90,曼彻斯特城市大学Manchester Metropolitan University,72%,0.5,19.7,972,266,79%,57.2%,63.8%,371,免费评估
91,切斯特大学University of Chester,73%,0.2,18.3,753,267,78.2%,54.8%,65.1%,365,免费评估
92,北安普顿大学The University of Northampton,75%,0.2,20.4,853,233,81.3%,53.7%,59.5%,362,免费评估
92,罗汉普顿大学Roehampton University,71%,0.8,18.4,1242,251,78.5%,51%,56.8%,362,免费评估
94,格拉摩根大学University of Glamorgan,74%,0.4,18.3,1103,263,69.1%,52.4%,60.4%,361,免费评估
95,阿伯泰邓迪大学University of Abertay Dundee,..,0.4,19.8,1603,279,70.1%,48.3%,53.3%,353,免费评估
96,伦敦艺术大学University of the Arts London,62%,1.0,21.7,849,322,85.5%,61.6%,63.6%,339,免费评估
97,格林多大学Glyndwr University,72%,0.2,19.7,996,212,70.1%,50.6%,69.3%,338,免费评估
98,坎特伯雷大学Canterbury Christ Church University,73%,0.2,18.3,633,238,80.2%,49.7%,59%,334,免费评估
99,利物浦约翰摩尔斯大学Liverpool John Moores University,73%,0.4,19.6,979,244,76.1%,45.7%,58.8%,327,免费评估
100,威斯敏斯特大学University of Westminster,69%,0.5,16.4,800,249,77.5%,51.5%,54.1%,321,免费评估
101,利兹都会大学Leeds Metropolitan University,68%,0.2,21.1,975,257,82.1%,53%,59.9%,315,免费评估
102,伍尔弗汉普顿大学University of Wolverhampton,72%,0.3,19.0,1078,204,73.4%,44.6%,60.9%,313,免费评估
103,安格里亚鲁斯金大学,68%,0.2,19.7,773,257,74.3%,55.5%,66.2%,309,免费评估
104,德比大学University of Derby,72%,0.1,19.8,1091,231,76.5%,46.6%,54.9%,307,免费评估
105,米德塞斯大学Middlesex University,70%,0.5,23.4,1645,194,64.7%,50.8%,64.4%,296,免费评估
106,格林威治大学The University of Greenwich,73%,0.3,22.9,829,212,75.8%,44.9%,59.6%,289,免费评估
107,纽波特大学University of Wales Newport,73%,0.3,25.8,922,229,72.1%,54.8%,55.8%,284,免费评估
108,东伦敦大学University of East London,70%,0.4,21.6,1257,191,71.5%,44.4%,62.7%,282,免费评估
108,波尔顿大学University of Bolton,75%,0.3,19.0,697,213,56%,53.5%,59.1%,282,免费评估
110,泰晤士河谷大学Thames Valley University,73%,0.2,20.6,827,197,63.6%,50.4%,59.7%,273,免费评估
111,南安普顿索伦特大学Southampton Solent University,70%,0.1,21.4,1054,211,74.5%,45.7%,56.6%,272,免费评估
112,新白金汉大学Buckinghamshire New University,68%,0.1,20.3,1110,210,79.8%,46.3%,50.9%,263,免费评估
113,伦敦南岸大学London South Bank University,71%,0.3,25.2,829,179,69.4%,53.7%,63.2%,253,免费评估
114,创意艺术大学University for the Creative Arts,66%,0.5,24.3,1033,247,85.3%,5.12%,58.2%,243,免费评估
