Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
38,白金汉大学The University of Buckingham,88.0,88.4,,304,83.4,50.7,86.3,10.5,1972,663,免费评估
38,赫瑞瓦特大学Heriot Watt University,80.8,84.2,36.7,413,78.1,72.0,87.4,16.9,2120,663,免费评估
38,利物浦大学The University of Liverpool,77.9,83.4,31.5,404,76.1,75.4,91.3,11.8,2217,663,免费评估
41,伦敦城市大学City University London,82.7,85.6,21.4,379,78.9,73.8,86.0,16.1,2368,661,免费评估
41,斯旺西大学Swansea University,82.6,86.5,33.7,326,81.4,74.4,89.7,15.3,1787,661,免费评估
43,基尔大学Keele University,87.0,90.2,22.1,358,76.1,68.4,90.8,13.9,1273,653,免费评估
44,伦敦大学亚非学院SOAS University of London,75.2,80.8,27.9,407,68.3,82.9,80.7,10.9,2135,648,免费评估
45,阿伯丁大学University of Aberdeen,77.4,83.7,29.9,446,76.2,77.1,84.1,13.4,2107,640,免费评估
46,思克莱德大学University of Strathclyde,76.2,85.6,37.7,476,72.0,77.9,87.6,19.3,1872,637,免费评估
47,考文垂大学Coventry University,87.6,89.3,3.8,310,74.2,67.4,85.8,14.6,1732,622,免费评估
48,"圣乔治医学院St George's, University of London",78.7,81.6,22.2,418,93.4,70.4,92.7,12.9,4034,620,免费评估
49,哈珀亚当斯大学Harper Adams University,82.6,89.3,5.7,331,73.3,58.3,90.6,17.9,2077,607,免费评估
50,斯特林大学University of Stirling,78.7,82.3,30.5,375,73.3,67.9,85.7,15.0,1665,596,免费评估
51,皇家农学院Royal Agricultural University,79.3,85.6,1.1,307,69.7,62.6,96.3,20.9,2887,592,免费评估
52,班戈大学Bangor University,85.8,87.8,27.2,321,67.7,64.1,81.8,16.5,1387,589,免费评估
53,德蒙福特大学De Montfort University,82.4,84.6,8.9,307,76.9,70.9,86.5,18.7,1924,584,免费评估
54,诺丁汉特伦特大学Nottingham Trent University,83.6,85.8,6.5,310,67.6,69.2,89.6,17.0,1812,582,免费评估
55,牛津布鲁克斯大学Oxford Brookes University,83.2,85.7,11.4,348,69.2,71.1,89.4,17.6,1429,576,免费评估
56,法尔茅斯大学Falmouth University,83.7,83.5,4.6,309,74.5,72.0,85.4,21.5,1755,573,免费评估
57,阿尔斯特大学University of Ulster,82.9,87.0,31.8,306,63.6,66.5,82.3,16.2,1710,572,免费评估
58,巴斯斯巴大学Bath Spa University,85.8,85.8,7.9,318,55.1,74.5,89.9,19.0,1517,571,免费评估
59,朴茨茅斯大学University of Portsmouth,83.4,85.9,8.6,310,66.9,72.7,87.6,16.5,1617,569,免费评估
60,布鲁内尔大学Brunel University,78.2,83.8,25.4,352,63.4,68.8,87.7,16.4,1904,568,免费评估
61,诺里奇艺术大学Norwich University of the Arts,83.5,83.5,5.6,357,63.4,70.5,88.7,17.8,1236,564,免费评估
62,创意艺术大学University for the Creative Arts,82.7,81.5,3.4,332,52.0,60.4,85.8,11.7,2122,563,免费评估
62,林肯大学University of Lincoln,81.1,84.6,10.3,335,70.7,65.0,87.6,18.0,1665,563,免费评估
64,诺桑比亚大学Northumbria University,82.9,85.1,9.0,363,66.3,67.6,87.6,17.8,1484,556,免费评估
64,温切斯特大学University of Winchester,84.2,85.0,5.8,307,60.7,75.5,85.2,16.9,1226,556,免费评估
66,伦敦大学金史密斯学院Goldsmiths University of London,76.6,76.3,33.4,360,56.0,81.4,82.4,14.8,1319,550,免费评估
67,赫尔大学The University of Hull,80.0,83.8,16.7,332,66.7,71.2,86.0,17.3,1698,542,免费评估
68,艾芝西尔大学Edge Hill University,83.2,83.5,4.9,319,63.8,65.8,86.2,15.7,1809,539,免费评估
69,奇切斯特大学University of Chichester,84.0,85.3,6.4,310,57.5,69.3,89.9,17.4,1194,534,免费评估
69,哈德斯菲尔德大学University of Huddersfield,82.2,84.0,9.4,333,74.1,64.1,83.0,17.8,1551,534,免费评估
69,罗伯特高登大学The Robert Gordon University,80.6,83.5,4.0,385,83.1,67.0,83.4,19.4,1335,534,免费评估
72,谢菲尔德哈莱姆大学Sheffield Hallam University,80.9,83.9,5.4,319,64.7,65.7,86.9,17.1,1932,529,免费评估
73,西英格兰大学University of the West of England,80.0,82.5,8.8,324,70.8,71.4,84.9,19.5,1931,527,免费评估
74,利物浦约翰摩尔斯大学Liverpool John Moores University,81.6,85.0,8.9,344,63.3,74.9,84.2,18.4,1332,525,免费评估
75,布拉德福德大学University of Bradford,78.8,84.4,9.2,314,75.2,74.0,83.8,17.8,1731,523,免费评估
76,赫特福德大学University of Hertfordshire,78.6,82.8,5.6,318,75.3,67.0,86.0,17.7,1964,522,免费评估
77,曼彻斯特城市大学Manchester Metropolitan University,81.0,82.2,7.5,347,63.0,69.8,84.4,17.7,1516,520,免费评估
78,罗汉普顿大学Roehampton University,78.0,79.9,24.5,286,60.9,67.2,81.7,16.8,2207,519,免费评估
79,亚伯大学Aberystwyth University,78.4,80.4,28.1,312,62.5,65.1,89.3,17.8,1386,517,免费评估
79,利物浦霍普大学Liverpool Hope University,86.8,86.4,9.2,304,53.9,63.4,82.8,19.4,1667,517,免费评估
81,伯恩茅斯艺术大学Arts University Bournemouth,81.4,80.0,2.4,322,61.4,66.2,92.3,15.3,684,514,免费评估
82,伯恩茅斯大学Bournemouth University,75.2,78.8,9.0,329,66.4,75.5,86.0,17.4,1831,513,免费评估
82,北安普顿大学The University of Northampton,82.3,84.1,3.2,283,60.7,64.5,85.0,20.3,2387,513,免费评估
84,德比大学University of Derby,84.4,85.3,2.5,290,60.0,62.7,83.7,15.4,1540,512,免费评估
85,米德塞斯大学Middlesex University,78.7,81.8,9.7,270,64.9,61.3,77.8,18.5,2967,500,免费评估
85,普利茅斯大学University of Plymouth,82.3,84.1,15.9,312,60.2,67.0,84.8,17.5,1424,500,免费评估
87,切斯特大学University of Chester,82.7,83.7,4.1,299,63.6,63.4,80.5,16.4,1714,497,免费评估
88,格罗斯特大学University of Gloucestershire,79.8,82.6,3.8,317,55.7,72.4,86.3,19.7,1720,496,免费评估
89,约克圣约翰大学York St John University,82.4,83.0,4.1,292,65.3,65.4,90.4,20.6,1284,494,免费评估
90,布莱顿大学University of Brighton,78.6,80.9,7.9,321,66.9,68.2,86.9,17.1,1357,491,免费评估
91,利兹圣三一大学Leeds Trinity University,83.5,82.3,2.0,284,65.8,68.9,81.7,21.7,1470,487,免费评估
92,中央兰开夏大学University of Central Lancashire,80.4,83.5,5.6,315,62.4,60.0,81.6,17.1,2052,481,免费评估
93,龙比亚大学Napier University,80.2,83.7,4.6,347,69.1,71.4,81.2,20.3,1155,478,免费评估
94,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,77.0,82.5,7.0,372,70.2,70.1,83.2,21.2,1545,477,免费评估
95,斯塔福德郡大学Staffordshire University,81.8,82.8,16.5,274,58.4,63.2,78.4,16.8,1620,475,免费评估
96,玛格丽特女王大学Queen Margaret University,78.9,82.3,6.6,341,59.6,74.2,82.4,19.1,1336,474,免费评估
97,阿伯泰邓迪大学University of Abertay Dundee,80.0,83.1,5.1,338,65.6,70.4,75.5,21.4,1563,466,免费评估
98,索尔福德大学University of Salford,80.1,80.9,8.3,334,59.5,65.2,79.5,17.0,1646,465,免费评估
99,伦敦艺术大学University of the Arts London,75.9,74.5,8.0,320,59.2,61.8,85.5,15.1,1711,464,免费评估
100,"特威克南圣玛丽大学St Mary's, Twickenham",80.5,84.8,4.0,289,66.7,63.8,83.7,20.6,1069,463,免费评估
100,伍斯特大学University of Worcester,81.4,84.5,4.3,301,63.9,61.9,85.8,19.0,1062,463,免费评估
102,蒂赛德大学Teesside University,82.9,84.3,3.6,306,59.8,59.3,80.8,17.7,1676,456,免费评估
103,卡迪夫都市大学Cardiff Metropolitan University,79.1,81.8,3.9,317,59.8,60.6,82.2,19.0,1712,454,免费评估
104,桑德兰大学University of Sunderland,82.5,84.2,5.8,294,62.3,49.5,81.4,19.6,1484,446,免费评估
105,伯明翰城市大学Birmingham City University,78.0,79.3,4.3,300,64.8,67.3,84.4,20.4,1693,444,免费评估
106,格林威治大学The University of Greenwich,79.2,82.4,4.9,315,58.2,62.9,84.7,19.6,1479,443,免费评估
107,坎特伯雷大学Canterbury Christ Church University,80.7,81.9,4.5,279,57.8,66.5,82.3,18.4,1212,438,免费评估
108,剑桥安鲁大学Anglia Ruskin University,82.5,83.9,5.4,254,65.0,58.4,79.3,19.0,1419,428,免费评估
109,新白金汉大学Buckinghamshire New University,81.5,81.1,1.5,257,57.6,57.0,82.5,21.8,1997,421,免费评估
110,贝德福德大学University of Bedfordshire,80.4,82.7,7.0,229,58.3,56.6,80.1,18.3,1721,419,免费评估
111,金斯顿大学Kingston University,76.1,79.9,5.1,299,60.7,67.4,82.2,19.3,1637,418,免费评估
112,格罗斯特大学University of Gloucestershire,80.9,80.6,2.1,284,69.1,60.4,90.0,28.6,743,412,免费评估
112,南威尔士大学The University of South Wales,77.5,78.3,4.0,322,59.0,63.6,81.7,19.6,1425,412,免费评估
114,利兹贝克特大学Leeds Beckett University,78.5,82.7,4.1,288,58.5,61.8,78.8,20.7,1341,408,免费评估
115,纽曼大学Newman University,83.1,84.6,2.8,293,54.6,56.0,73.3,18.9,1458,401,免费评估
115,南安普顿索伦特大学Southampton Solent University,79.5,82.1,0.5,276,54.6,60.2,76.8,18.3,1480,401,免费评估
115,威斯敏斯特大学University of Westminster,72.9,80.6,9.8,311,55.1,68.8,80.4,19.9,1491,401,免费评估
118,西苏格兰大学University of the West of Scotland,81.8,81.8,4.3,305,65.7,63.2,70.0,21.1,1291,395,免费评估
119,哥比亚大学University of Cumbria,76.9,77.6,1.2,299,64.9,64.7,85.7,22.3,1093,392,免费评估
120,伦敦南岸大学London South Bank University,77.0,81.3,9.0,248,67.9,61.0,74.6,17.2,1523,386,免费评估
121,泰晤士河谷大学Thames Valley University,76.9,77.5,1.6,259,60.5,58.8,73.9,17.3,2214,385,免费评估
122,格林多大学Glyndwr University,80.5,79.3,2.3,257,66.3,53.6,75.8,23.3,1757,374,免费评估
123,波尔顿大学University of Bolton,81.6,80.8,2.9,287,60.1,54.9,71.2,17.9,959,370,免费评估
123,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",76.3,77.3,,319,60.4,58.8,82.6,21.2,1250,370,免费评估
125,伦敦都市大学London Metropolitan University,76.0,78.6,3.5,239,47.7,55.1,75.3,19.6,1000,287,免费评估
126,高地与群岛大学University of the Highlands and Islands,78.8,76.5,,272,56.0,57.9,68.6,,558,276,免费评估
127,东伦敦大学University of East London,75.0,78.5,7.2,281,45.6,53.9,67.5,23.6,1636,269,免费评估
